Solutions over population
,Best,Avg,Worst
0,6359.538485267844,7393.311640590959,9149.435920862148
1,4484.611386555151,6605.376340415692,8758.057941008436
2,4083.6904506406563,6376.4510856162115,8758.057941008436
3,4075.955647373463,6208.161135072507,8758.057941008436
4,3941.8784840463586,6065.6226881185385,8796.192046931876
5,3889.5763188871992,6006.480281869325,8216.596819351784
6,3748.072003973348,5930.988408641849,8116.462326374167
7,3734.488490828217,5863.918997056398,8073.734438191911
8,3710.8348383713333,5744.643195415424,8102.739469621105
9,3680.8110757711643,5708.80238725168,8023.062286901376
10,3680.19721015296,5727.205034132332,8064.912700736605
11,3669.073932635916,5642.094021934617,7757.45079220497
12,3590.86920477376,5567.655422705906,7798.003914332589
13,3503.6228176071036,5545.146684826883,7734.188511095427
14,3503.6228176071036,5495.837850715686,7716.917455817794
15,3503.6228176071036,5455.089320620096,7469.674266657298
16,3492.2844324392886,5457.753607002945,7469.674266657298
17,3445.5887816163527,5394.86684534308,7459.611678581076
18,3376.12046875844,5420.699078269692,7459.611678581076
19,3342.580826750811,5327.234738737056,7368.837792165108
20,3295.9635968904327,5343.423626867882,7759.247862383814
21,3295.9635968904327,5329.586661377528,7398.120025587127
22,3295.9635968904327,5286.226319798135,7283.650908073142
23,3295.9635968904327,5264.5849354278635,7283.650908073142
24,3229.8195436081605,5267.659489994028,7283.650908073142
25,3221.934197306288,5198.164872170789,7388.042725353776
26,3186.2140945093292,5229.378724361554,7399.055062055305
27,3178.2458110754906,5175.936715166982,7443.129927585023
28,3173.1264020049734,5140.4841642761785,7550.762757286598
29,3173.1264020049734,5203.246881263661,7492.803910481146
30,3115.7371252904736,5191.794486488035,7371.883312477722
31,3092.3926329397646,5201.128636421466,7327.990539942668
32,3092.3926329397646,5183.943023363487,7366.753303117382
33,3078.4186105661506,5199.392438569202,7430.274050465483
34,3078.4186105661506,5133.582149040579,7342.813354626944
35,3041.184410084253,5139.7067799116885,7747.758562887622
36,3041.184410084253,5131.569630517994,7332.408696786251
37,3018.486982472722,5108.250836167539,7269.876642882042
38,3017.5106220044354,5160.417738767396,7359.49503501004
39,3017.5106220044354,5117.694077540912,7208.177520737181
40,2995.08138183574,5039.92963824957,7113.874749180612
41,2969.607521517539,5026.827555341454,7509.850302678016
42,2969.512906882827,5023.22930140936,7577.371239244964
43,2969.512906882827,4990.610830699887,7577.371239244964
44,2969.512906882827,4979.071502274938,8022.336410585513
45,2969.512906882827,5103.263444610141,7479.144131372258
46,2952.0980072009856,5059.088044630099,7219.693565287544
47,2926.505521995679,5036.33012427358,7219.693565287544
48,2900.946227745219,4993.730863090814,7398.463158673154
49,2896.3165869772233,4962.8129411915215,7503.527882027209
50,2857.3579793487165,4998.996088151656,7566.41223200145
51,2857.3579793487165,4997.117857029441,7551.802599244659
52,2846.596812707858,5003.349479963708,7285.232279958235
53,2833.941194881783,4976.71625228111,7285.232279958235
54,2833.941194881783,4941.00487532186,7267.161759103753
55,2833.941194881783,4975.228819876196,7267.161759103753
56,2833.941194881783,4958.159350855499,7456.564241287613
57,2833.941194881783,4971.131547829142,7617.4367293830555
58,2833.941194881783,4953.233384734875,7509.396377729788
59,2806.757935758598,4953.222561809182,8116.2891969861585
60,2773.921754733292,4969.961384696587,7578.806607130489
61,2773.921754733292,4972.851451179338,7535.799486322767
62,2773.921754733292,4946.102172326959,7366.449478283599
63,2773.921754733292,4862.022280540361,7287.619927665052
64,2747.947387994673,4905.317533739413,7287.333518783986
65,2747.947387994673,4889.236050511561,7332.851745040084
66,2747.947387994673,4852.056991303348,7122.094892846574
67,2747.947387994673,4850.416818266844,7037.865199725648
68,2744.6100842424053,4793.9485866042005,7613.997485124679
69,2744.6100842424053,4868.594620369827,7321.1985130434805
70,2744.6100842424053,4837.139595822191,7297.953374709475
71,2744.6100842424053,4829.710116266873,7297.953374709475
72,2741.8737148921323,4769.185816215061,7241.7078583915545
73,2733.1489784538685,4739.692118545394,6997.197273142665
74,2733.1489784538685,4723.430775943304,6997.197273142665
75,2733.1489784538685,4733.339230828268,6963.193611449009
76,2733.1489784538685,4765.932068492568,7532.012192387071
77,2733.1489784538685,4831.3133962946295,7301.813134551762
78,2733.1489784538685,4811.86619621955,7235.505657012092
79,2733.1489784538685,4809.034108275156,7308.761646339768
80,2733.1489784538685,4835.255683683288,7454.217540148869
81,2732.14494785196,4808.0980081576745,7454.217540148869
82,2732.14494785196,4824.858051435201,7311.432935958989
83,2717.7248614851324,4867.423554204447,7200.620751518288
84,2714.2661446326815,4821.099949947422,7129.624992996373
85,2714.2661446326815,4835.362335831894,7129.624992996373
86,2714.2661446326815,4826.251031952674,7099.398954073627
87,2710.7562931546245,4791.113383678444,7099.398954073627
88,2710.7562931546245,4750.391402786285,7466.937681705394
89,2690.9927511805727,4789.332942211005,7572.114798348423
90,2647.314384874096,4746.573817319783,7572.114798348423
91,2647.314384874096,4787.9358260916915,7797.945063888703
92,2647.314384874096,4873.482716565949,7372.424734329319
93,2647.314384874096,4901.184922553565,7563.83854989118
94,2647.314384874096,4905.383209081563,7343.100762098115
95,2632.2676149040767,4814.915879310398,7497.168832747728
96,2632.2676149040767,4818.509103204733,7518.467065805526
97,2632.2676149040767,4805.414669849565,7899.44284749714
98,2632.2676149040767,4829.375144590255,7475.6426178288
99,2622.1788977746814,4846.007402901071,7377.369273458293
100,2613.246508194478,4891.895651202198,7710.035776279331
101,2598.8264218276504,4851.217035499837,7353.306420238949
102,2598.8264218276504,4832.293628784631,7349.710095877531
103,2589.5936879838914,4800.779034535028,7663.495991633866
104,2589.5936879838914,4798.83564332689,7485.089370906256
105,2589.5936879838914,4756.607844840412,7194.950903731492
106,2589.5936879838914,4729.99479500102,7190.274821844889
107,2589.5936879838914,4703.076361483396,7181.648347617536
108,2589.5936879838914,4746.485771615677,7178.138418414923
109,2589.5936879838914,4662.443862135319,7235.48990825396
110,2589.5936879838914,4704.059143622037,7528.134484857505
111,2589.5936879838914,4755.962812348185,7320.218290967367
112,2589.5936879838914,4716.653507014977,7269.146627499649
113,2589.5936879838914,4662.869997091293,7273.162844102196
114,2552.202503743341,4677.577158266209,7288.223059910746
115,2552.202503743341,4731.3501956090195,7506.167035439409
116,2552.202503743341,4747.684089039461,7495.88112735694
117,2552.0422962847965,4678.672208612798,7495.88112735694
118,2552.0422962847965,4752.148352273126,7590.853874861052
119,2552.0422962847965,4705.644544526861,7182.550888117814
120,2513.5693080108904,4724.731577064222,7182.550888117814
121,2511.3475014644673,4721.9965346399695,7195.95107097634
122,2511.3475014644673,4653.35955444447,7583.858341487523
123,2511.3475014644673,4690.403934439664,7186.753095903996
124,2511.3475014644673,4704.759524278762,7097.750999681923
125,2511.3475014644673,4675.534521290307,7091.057727415114
126,2511.3475014644673,4633.213931943474,7091.057727415114
127,2505.830041799844,4699.31801464347,7074.693497345495
128,2505.830041799844,4656.769839948276,7049.047943037823
