Solutions over population,,,
,Best,Avg,Worst
0,6143.397816,7433.685167,8959.626795
1,4412.624704,6703.380313,8704.931909
2,4202.108952,6613.671766,8893.929991
3,4169.428083,6526.448393,9063.661752
4,4169.428083,6546.404857,9063.661752
5,4036.719857,6571.232743,8980.291753
6,3998.53048,6546.534482,9006.470026
7,3849.035664,6492.384381,8977.128723
8,3838.80517,6467.742978,8936.648701
9,3779.257514,6396.824789,9609.998428
10,3719.422001,6447.396623,9218.537553
11,3695.815986,6445.152353,8895.289137
12,3653.140559,6468.672222,9889.674756
13,3632.572277,6330.287082,9218.210946
14,3618.822287,6354.911409,9102.63103
15,3614.946177,6296.328974,9270.312228
16,3581.569979,6347.873088,9063.420207
17,3532.602171,6346.86466,9056.003585
18,3455.666772,6391.761158,9050.223763
19,3455.666772,6289.535671,9021.290657
20,3447.139971,6302.451449,9015.334384
21,3447.139971,6267.180966,8881.920509
22,3394.380082,6300.925941,8847.099826
23,3394.380082,6298.765631,8964.061051
24,3350.470491,6361.909732,9072.378705
25,3334.062054,6404.486102,9054.539827
26,3299.55302,6355.21007,9220.402965
27,3299.55302,6272.613245,9033.173753
28,3264.11275,6298.817519,9396.210532
29,3264.11275,6398.85383,9786.614628
30,3264.11275,6411.396782,9101.461314
31,3264.11275,6351.512407,9180.429128
32,3235.202506,6302.94438,8926.893859
33,3230.942232,6293.661279,9695.345316
34,3230.942232,6213.733838,9201.090291
35,3230.942232,6188.768725,8907.404118
36,3230.942232,6281.253841,8814.504352
37,3230.942232,6298.500982,8780.157211
38,3230.942232,6167.976186,9040.54295
39,3212.469291,6254.203352,8744.211546
40,3199.835381,6386.80213,9505.135725
41,3199.835381,6324.746647,8891.251843
42,3199.835381,6217.891416,9254.452886
43,3199.835381,6273.900938,9457.895583
44,3199.835381,6214.628054,9239.487438
45,3199.835381,6201.481259,8956.847226
46,3180.062657,6197.006385,8956.847226
47,3179.962939,6222.219782,8911.876472
48,3170.668769,6206.650566,8768.230779
49,3134.565529,6229.620346,8833.402281
50,3134.565529,6268.052711,9356.698477
51,3128.112042,6192.272194,9213.791194
52,3128.112042,6226.049346,9213.791194
53,3121.157699,6171.690021,9213.791194
54,3121.157699,6237.315203,9053.607484
55,3121.157699,6174.03342,9053.607484
56,3121.157699,6182.258638,9053.607484
57,3121.157699,6266.296555,8913.088468
58,3121.157699,6266.313958,9467.505376
59,3096.295505,6172.866026,9137.531072
60,3081.857731,6232.805701,8956.280272
61,3080.687943,6295.217273,9052.468433
62,3080.687943,6284.551974,9055.135355
63,3080.687943,6263.617942,8923.656668
64,3080.687943,6249.289513,9001.632777
65,3080.276186,6198.347792,8915.710821
66,3065.804703,6153.395304,8939.876178
67,3065.804703,6254.349404,8929.660101
68,3045.167443,6270.029776,9283.300746
69,3045.167443,6251.045873,8963.243199
70,3045.167443,6251.48822,9840.367355
71,3045.167443,6232.192748,9969.902006
72,3045.167443,6178.514034,8784.622568
73,3010.611582,6210.674356,9171.911938
74,3010.611582,6262.782239,8889.427827
