Solutions over population,,,
,Best,Avg,Worst
0,6352.162917,7370.538899,8750.081985
1,4337.631407,6650.802772,9038.287312
2,4182.608082,6501.187718,9060.826523
3,4035.940509,6533.871478,8879.212879
4,3840.257677,6521.025632,8897.39644
5,3840.257677,6479.288982,8938.588703
6,3771.146364,6466.373404,8938.588703
7,3771.146364,6413.882118,9375.694634
8,3666.645167,6439.675778,9280.968774
9,3666.645167,6433.722701,9280.968774
10,3556.145194,6286.986104,9392.536916
11,3509.494794,6292.508986,9083.157967
12,3509.494794,6320.666629,8803.712538
13,3437.45449,6329.596464,8803.712538
14,3428.34521,6333.710932,8941.108645
15,3425.450209,6322.887135,9064.577359
16,3412.22769,6368.708347,9160.269222
17,3363.972005,6367.713852,9026.283287
18,3363.972005,6374.489249,10348.18137
19,3363.972005,6398.908214,9074.018585
20,3353.866525,6202.183268,9611.360638
21,3337.819991,6291.822437,9370.465453
22,3298.463867,6398.419946,9372.529564
23,3288.393594,6339.470847,9218.03242
24,3288.393594,6315.767173,9218.03242
25,3288.393594,6377.84325,9289.70673
26,3281.428346,6329.630363,9111.92105
27,3281.428346,6318.407506,9203.245083
28,3279.064947,6365.945759,9195.942416
29,3236.629675,6316.534358,9878.927875
30,3236.312828,6171.031336,9212.868271
31,3233.333448,6217.601461,8957.966905
32,3188.767107,6258.883364,9289.832591
33,3188.767107,6183.762943,8923.057178
34,3172.928326,6169.124658,8813.456232
35,3172.928326,6222.222745,9034.77
36,3172.641382,6214.892497,8922.887639
37,3152.379821,6249.977172,9799.379846
38,3152.379821,6232.645917,9055.653795
39,3067.534571,6263.025576,8911.528857
40,3066.855471,6074.613216,9047.563486
41,3066.855471,6203.079622,8782.121001
42,3035.362668,6195.006574,8802.491988
43,3035.362668,6189.610953,9007.926397
44,3035.362668,6249.582533,8997.030253
45,3035.362668,6344.080277,9115.177547
46,3035.282661,6282.438962,9243.893581
47,3010.79024,6272.304985,9330.133503
48,3010.79024,6276.966954,9266.348761
49,3010.79024,6297.550972,9326.65881
50,2974.702428,6166.404884,9138.570555
51,2974.702428,6204.051609,8963.20828
52,2958.619482,6193.919679,8963.20828
53,2958.619482,6266.554921,9017.533991
54,2945.816831,6282.830102,10455.39686
55,2945.610387,6399.398628,9026.430136
56,2936.514574,6315.757931,9026.430136
57,2936.514574,6299.806172,9493.817868
58,2936.514574,6261.574659,9013.061962
59,2936.514574,6215.87605,8870.818352
60,2936.514574,6045.667517,8686.696649
61,2936.514574,6020.728376,8978.802199
62,2936.514574,6119.509889,9720.886363
63,2926.058666,6103.499929,8915.32459
64,2924.297499,6164.046646,8827.249295
65,2924.297499,6179.288134,8827.249295
66,2924.297499,6150.642141,9324.409547
67,2924.297499,6136.821806,9459.507162
68,2924.297499,6160.936327,8947.642097
69,2924.297499,6179.921873,8969.858895
70,2874.338576,6057.253883,8929.809095
71,2840.334313,6033.17893,8923.814902
72,2825.276523,6145.318322,8923.814902
73,2825.276523,6157.877605,9346.974186
74,2825.276523,6145.595663,8979.93494
75,2825.276523,6186.23959,8979.93494
76,2817.216104,6065.390992,8786.562661
77,2814.938304,6105.839477,8901.017793
78,2814.938304,6146.424608,8764.36145
79,2814.938304,6207.959165,8875.10117
80,2814.938304,6095.890603,9104.077949
81,2814.938304,6089.384665,9077.515882
82,2814.938304,6124.218044,8638.325292
83,2811.002203,6114.45268,8627.971987
84,2811.002203,6135.471661,9127.137931
85,2811.002203,6195.325522,8922.684973
86,2811.002203,6192.06766,9268.971633
87,2803.653257,6161.839085,8953.969026
88,2803.653257,6282.412057,9156.581213
89,2797.67894,6250.758163,9945.998949
90,2797.67894,6020.506327,9081.46857
91,2797.518236,6110.066972,8872.519484
92,2797.518236,6071.984614,8789.705407
93,2797.518236,6150.650809,8901.744018
94,2788.183191,6193.962196,8732.747952
95,2778.376725,6176.566412,8588.398275
96,2778.376725,6224.983443,9248.496332
97,2770.147813,6278.960567,9248.496332
98,2770.147813,6190.869666,9501.223869
99,2770.147813,6222.073455,8956.218598
100,2770.147813,6051.590388,8985.389174
101,2770.147813,6021.60727,8950.522384
102,2770.147813,6053.035975,8895.860902
103,2770.147813,6090.147465,9157.725301
104,2770.147813,6083.919401,9169.782675
105,2768.548884,6180.36306,9017.506303
106,2768.548884,6183.942094,9451.684862
107,2768.548884,6243.09107,8961.770936
108,2768.548884,6234.266054,8961.770936
109,2768.548884,6257.933425,8974.185744
110,2768.548884,6050.524468,8727.670512
111,2751.926305,6078.71617,8767.359012
112,2751.926305,6093.819743,8728.150364
113,2751.926305,6126.364931,8917.985105
114,2751.926305,6079.264658,9265.911654
115,2751.926305,6197.942184,8881.457683
116,2751.926305,6190.813362,8907.645287
117,2751.926305,6227.705474,8989.860469
118,2751.926305,6211.363871,9199.62702
119,2751.926305,6149.947827,8968.704366
120,2751.926305,6047.425575,8756.476125
121,2751.926305,6105.963543,8906.102946
122,2751.926305,6164.056495,9187.831202
123,2751.926305,6162.125952,8787.21304
124,2751.926305,6150.400586,9094.009131
125,2738.565474,6184.566146,8817.38726
126,2738.565474,6141.132595,9205.56161
127,2738.565474,6207.26992,8870.494913
128,2738.565474,6230.229133,9199.504459
129,2735.371419,6138.469253,8866.867017
130,2735.371419,6029.65429,9149.041047
131,2735.371419,6114.117134,8980.003893
132,2735.27925,6194.28658,8980.003893
133,2735.27925,6144.288938,8901.169641
134,2711.21429,6191.687902,8833.46828
135,2711.21429,6186.518001,8914.530026
136,2711.21429,6105.628551,8800.178199
137,2708.911826,6066.543501,9358.37595
138,2708.911826,6144.661826,9357.909481
139,2708.911826,6108.137321,9540.67249
140,2708.911826,6003.211901,9261.571943
141,2708.911826,6145.69989,9179.314084
142,2708.911826,6196.046977,9130.11504
143,2708.911826,6238.686451,8961.982763
144,2697.307401,6159.264381,8860.468584
145,2697.307401,6131.77838,9203.032255
146,2697.307401,6119.377543,9645.622211
147,2697.307401,6203.234185,8747.595128
148,2697.307401,6150.711111,9431.421637
149,2697.307401,6134.487636,9215.571799
150,2697.307401,5997.464696,8917.142268
151,2697.307401,6069.382472,9006.425902
152,2697.26191,6105.815708,9086.700888
153,2697.26191,6103.403176,9375.849683
154,2697.26191,6091.143628,8962.324969
155,2697.26191,6143.384118,8943.973584
156,2697.26191,6161.825466,8591.547395
157,2693.377983,6099.093627,8874.991218
158,2693.377983,6125.189207,8874.991218
159,2693.377983,6102.451687,8843.772941
160,2693.377983,6071.790614,8793.947769
161,2693.377983,6092.131779,8814.250828
162,2693.377983,6189.856601,9113.359984
163,2693.377983,6238.551085,9058.49767
164,2693.377983,6197.557214,9786.458898
165,2693.377983,6064.762461,9294.579387
166,2693.374428,6102.693676,9294.579387
167,2690.271323,6185.411765,8982.084851
168,2690.271323,6161.986613,8975.887865
169,2690.271323,6130.753017,8828.219832
170,2690.271323,6069.842925,9700.821833
171,2690.271323,6106.215276,9118.593698
172,2690.271323,6167.823761,8779.179224
173,2690.271323,6124.139548,8974.168806
174,2690.271323,6041.377837,8865.685482
175,2690.271323,6041.331215,9574.258333
176,2690.271323,6021.924973,8804.622532
177,2690.271323,6090.94292,9191.618835
178,2690.271323,6129.78748,8901.719238
179,2690.271323,6059.156753,8780.08459
180,2690.271323,6025.44668,9050.880534
181,2690.271323,6066.465417,9015.243291
182,2690.271323,6028.017526,8826.686645
183,2690.271323,6130.061548,8772.4158
184,2690.271323,6135.478451,9458.644145
185,2690.271323,6125.629025,9482.244906
186,2690.271323,6146.523293,8783.874278
187,2690.271323,6082.402753,9360.7914
188,2690.271323,6091.834004,9120.025557
189,2690.271323,6095.159873,8912.139936
190,2690.271323,5954.313933,9497.372989
191,2690.271323,5995.171742,8718.498236
192,2680.31194,6039.422537,9027.16114
193,2680.31194,6036.533331,9049.686515
194,2680.31194,6018.750713,8845.284191
195,2680.31194,6020.304461,8888.036973
196,2680.31194,6120.00259,8888.036973
197,2680.31194,6045.906537,8888.036973
198,2677.845317,6053.562521,8888.036973
199,2677.845317,6103.855696,9342.048883
200,2677.845317,5968.386935,8706.874551
201,2677.845317,5953.646288,9105.126325
202,2653.163679,5926.736137,8864.34322
203,2649.524636,5972.281461,8671.532428
204,2649.524636,6050.987737,8705.962222
205,2649.524636,6047.991945,9105.101327
206,2649.524636,6034.677235,9287.41485
207,2649.524636,6072.179792,9287.41485
208,2649.524636,6103.442112,9396.839404
209,2649.438933,6187.059092,9396.839404
210,2649.438933,6040.661052,9280.707062
211,2635.519462,6068.73782,8707.532873
212,2635.519462,6033.146875,8788.868301
213,2625.480742,6110.920539,8788.868301
214,2625.480742,6144.588257,8784.994888
215,2625.480742,6103.031341,8691.992929
216,2625.051496,6083.276633,9329.927072
217,2625.051496,6062.177933,9162.438582
218,2625.051496,6098.965838,9130.324619
219,2625.051496,6052.865331,9074.239138
220,2625.051496,6019.21535,9117.962616
221,2625.051496,6025.151465,9120.372297
222,2625.051496,5988.527615,9119.074396
223,2625.051496,6035.627371,9117.750678
224,2625.051496,6187.621555,9724.798019
225,2625.051496,6191.231966,8964.771176
226,2625.051496,6158.228302,9348.531458
227,2625.051496,6070.413698,8834.733785
228,2625.051496,6102.875882,9870.094397
229,2624.439226,6120.980292,9870.094397
230,2624.439226,5918.781635,8719.858098
231,2624.439226,5958.217417,8786.824817
