Solutions over population,,,
,Best,Avg,Worst
0,6297.540134,7401.829028,9225.023094
1,4207.959183,6720.24818,8798.76204
2,4167.184296,6584.093616,8926.92005
3,4095.010937,6528.008597,8924.032267
4,4072.951644,6518.819053,8845.915743
5,3932.534625,6501.604348,8843.586959
6,3881.802383,6482.614916,8844.386552
7,3712.796499,6465.309636,9228.957952
8,3672.584956,6374.696526,9103.868963
9,3634.228893,6470.423797,9367.021287
10,3569.485737,6406.331843,8876.622987
11,3568.132617,6357.821425,8876.622987
12,3535.792459,6402.009076,8781.055034
13,3535.792459,6368.552535,8879.632947
14,3530.823228,6309.153637,9530.84209
15,3490.982818,6288.099207,9069.621013
16,3483.118873,6355.363547,9069.621013
17,3467.406929,6354.327278,9052.980932
18,3343.77201,6273.733097,8780.265408
19,3316.943725,6297.200448,8773.208076
20,3221.073443,6313.957916,8904.892364
21,3221.073443,6289.087272,8904.892364
22,3215.596715,6291.86397,8904.892364
23,3215.596715,6335.658904,9145.514127
24,3215.596715,6264.820667,9139.996658
25,3215.596715,6309.471637,8947.094509
26,3215.596715,6303.866509,9141.745253
27,3199.00039,6308.60969,9202.966006
28,3199.00039,6283.52478,9042.343111
29,3155.624994,6310.284287,9313.716867
30,3155.624994,6270.708878,9323.95223
31,3154.691453,6294.777624,9388.814509
32,3154.691453,6216.964717,8899.160819
33,3117.217169,6251.216173,8879.793974
34,3071.118873,6173.445612,8706.629725
35,3071.118873,6161.107007,8706.344809
36,3071.118873,6217.538704,8685.646912
37,3071.118873,6221.46676,9136.918904
38,3071.118873,6275.68743,8776.349374
39,3065.553101,6234.809287,8887.259639
40,3065.553101,6224.469235,8834.19719
41,3065.553101,6121.64695,8843.368719
42,3056.826245,6156.296411,9227.532054
43,3017.134674,6215.053997,8854.034478
44,3017.134674,6203.804823,8983.712324
45,2969.049768,6153.134008,9065.936627
46,2960.710307,6173.534883,9006.861257
47,2951.406708,6157.751827,8887.578877
48,2951.406708,6203.974908,9398.142731
49,2951.406708,6200.374705,8782.013655
50,2935.948956,6223.540862,8967.938882
51,2935.948956,6229.196566,9023.35665
52,2935.948956,6254.247751,9004.142423
53,2935.948956,6265.707267,9088.210965
54,2935.948956,6227.343239,9088.210965
55,2935.948956,6267.171955,8808.804838
56,2935.948956,6110.702447,8938.577294
57,2912.036076,6133.434313,9194.122391
58,2912.036076,6260.493192,9581.744212
59,2908.695995,6150.116953,8992.007856
60,2908.695995,6172.731198,8968.399933
61,2888.610709,6174.797292,8958.398563
62,2888.610709,6183.407487,8932.702538
63,2888.610709,6213.969888,8932.702538
64,2888.610709,6202.108254,8910.97376
65,2888.610709,6233.697263,8910.97376
66,2888.610709,6160.972262,9182.703878
67,2888.610709,6261.186781,9193.044143
68,2888.610709,6235.978728,9235.892593
69,2888.610709,6214.062107,8978.710982
70,2865.361406,6213.045728,9046.227284
71,2865.361406,6148.582058,9049.469982
72,2865.361406,6165.829707,8865.794749
73,2840.436619,6136.613087,8961.556168
74,2840.436619,6221.768081,9055.776389
75,2840.436619,6209.119,9053.834774
76,2840.436619,6151.363345,8943.055396
77,2840.436619,6173.069555,9146.324523
78,2840.436619,6174.960978,9073.800311
79,2840.436619,6156.795731,8847.624182
80,2840.436619,6183.774147,9077.449128
81,2840.436619,6124.319336,9151.020345
82,2840.436619,6130.081432,9484.533296
83,2840.436619,6187.218279,9144.525058
84,2840.436619,6298.411961,9049.769029
85,2840.436619,6139.893876,8973.745682
86,2840.436619,6120.751711,8973.745682
87,2840.436619,6127.469252,9712.613413
88,2840.436619,6099.829525,9022.96017
89,2840.436619,6100.704928,9164.919543
90,2840.436619,6095.323111,9007.146252
91,2840.436619,6040.721764,9007.146252
92,2835.496126,6072.222425,8745.29685
93,2834.430682,6107.874923,8670.041334
94,2834.430682,6100.320318,8932.799256
95,2834.430682,6087.508054,8932.799256
96,2834.430682,6113.957092,8634.498728
97,2834.430682,6114.147408,8974.095261
98,2834.430682,6137.560033,9226.780317
99,2834.430682,6109.377108,8969.809443
100,2834.430682,6145.905013,8964.920211
101,2818.904582,6088.98525,8964.920211
102,2818.904582,6194.287451,8891.307251
103,2818.904582,6243.164415,8803.257414
104,2798.671387,6231.083996,9628.680225
105,2793.202927,6140.971179,9032.923193
106,2793.202927,6088.835427,8808.84615
107,2793.202927,6119.59939,8817.728224
108,2793.202927,6081.074273,9176.764871
109,2793.202927,6120.751944,8915.922798
110,2793.202927,6128.24356,9022.851572
111,2793.202927,6214.489958,8871.494298
112,2793.202927,6147.355306,8871.494298
113,2793.202927,6144.271346,8950.551402
114,2793.202927,6173.966382,8926.130043
115,2793.202927,6179.828489,8921.760041
116,2793.202927,6143.042848,9276.864745
117,2793.202927,6134.193145,9457.336573
118,2793.202927,6112.087976,9457.336573
119,2774.294991,6061.928552,9463.185283
120,2774.294991,6134.118748,9111.403709
121,2774.294991,6139.908335,9087.852222
122,2774.294991,6131.249487,8828.146586
123,2774.294991,6109.592181,8901.302085
124,2767.106334,6159.545776,9149.245759
125,2767.106334,6095.47767,9149.245759
126,2767.106334,6094.206729,8733.02824
127,2767.106334,6114.281498,9005.663813
128,2767.106334,6058.749163,8685.333877
129,2767.106334,6118.498464,8681.76635
130,2767.106334,6129.713639,8723.100198
131,2767.106334,6062.131917,8681.76635
132,2767.106334,6032.555981,9061.760061
133,2767.106334,6180.312568,8784.08933
134,2767.106334,6150.691473,8761.032589
135,2767.106334,6123.19465,8766.927304
136,2767.106334,6128.291122,8761.032589
137,2767.106334,6128.076154,8855.396167
138,2767.106334,6117.094828,8753.791864
139,2767.106334,6070.556325,9349.298694
140,2767.106334,6082.929548,9045.003511
141,2767.106334,5988.848509,9006.632662
142,2759.926686,5994.323897,9009.893755
143,2759.926686,5983.295045,9006.632662
144,2759.926686,6021.620514,8654.758506
145,2759.926686,6056.906471,8904.466186
146,2759.926686,6038.091148,9078.635974
147,2731.97881,6135.457194,8940.71177
148,2731.97881,6123.475297,8734.059292
149,2731.97881,6107.736176,9168.973517
150,2731.97881,6106.332149,8749.335448
151,2728.033182,6074.597087,8734.059292
152,2723.209983,6067.427114,8961.372965
153,2723.209983,6053.946896,9359.649856
154,2723.209983,6184.209893,9739.985995
155,2723.209983,6163.576393,9739.985995
156,2723.209983,6067.153542,8937.536044
157,2723.209983,6005.79042,8886.679086
158,2722.434599,6078.789932,8885.614124
159,2722.434599,6027.91561,8877.76792
160,2722.434599,6038.977094,8777.157305
161,2722.434599,6008.557092,9262.852459
162,2722.434599,6064.363539,9295.25568
163,2722.434599,6140.55863,8840.872816
164,2722.434599,6050.686718,8836.277531
165,2722.434599,6019.968678,8921.643047
166,2722.434599,6055.826986,8962.346212
167,2722.434599,5985.253923,8940.957098
168,2722.434599,6000.078786,8894.246087
169,2722.434599,6029.334457,8873.720348
170,2722.434599,6097.451978,8722.004937
171,2722.434599,6001.447494,8624.739426
172,2722.434599,6000.333125,8896.466663
173,2722.434599,6031.119451,9077.291373
174,2722.434599,6069.155009,9113.871152
175,2715.721648,6072.218659,9068.419713
176,2715.721648,6104.803156,9068.419713
177,2715.721648,6104.822957,9577.812774
178,2715.721648,5992.858987,9068.419713
