Solutions over population
,Best,Avg,Worst
0,6295.133046929366,7367.138134553499,9027.088193162446
1,3574.453290932909,6332.668658780756,8655.138887227213
2,3534.8883000113765,5950.594235323182,8655.138887227213
3,3354.622854720676,5758.594085948584,7963.955523386938
4,3320.0341392271944,5573.507563908597,7958.582257315869
5,3246.5352873293423,5468.938534540264,7730.732259764629
6,3227.19728877619,5414.400280456184,7654.766601205021
7,3167.8732086988284,5350.524422195167,7607.467291459822
8,3075.3091920563556,5307.433232955983,7436.036541327238
9,3075.3091920563556,5233.80044804759,7360.150871208286
10,3020.6781782322214,5185.796051157,7253.5885105174975
11,3020.6781782322214,5078.231627163064,7198.516733146623
12,3020.6781782322214,5010.447073565995,7191.953077624847
13,2988.361444966984,4962.324990613713,7146.649648833025
14,2988.361444966984,4954.54461428085,7079.172515534087
15,2970.1775465830715,4917.448220532059,7050.641026866143
16,2870.1020979342497,4929.819732819524,7074.474124258321
17,2870.1020979342497,4988.841175341495,7050.641026866143
18,2829.7531318581587,4936.411911892777,6984.222637757703
19,2809.5940076264,4799.553472846927,6837.055507414482
20,2809.5940076264,4845.26030202951,6925.343675771964
21,2809.5940076264,4853.970974155917,6869.005094535782
22,2809.5940076264,4745.937947100121,6727.0052499252515
23,2797.7900035669227,4715.802124828612,6769.531897624713
24,2797.7900035669227,4754.644836215864,6700.788522699394
25,2797.7900035669227,4773.475293808198,6751.888782759737
26,2797.7900035669227,4698.630771259049,6687.486894271987
27,2797.7900035669227,4673.592511616272,6682.681086743927
28,2797.7900035669227,4648.909546446134,6673.729874762706
29,2792.249505292986,4682.991218069023,6609.002539736845
30,2637.385748495223,4652.711125558175,6609.002539736845
31,2637.385748495223,4621.62291164943,6579.634227074568
32,2614.8142008452296,4601.013143657672,6566.954674431258
33,2614.8142008452296,4602.72951240477,6673.014915058918
34,2614.8142008452296,4621.612664459557,6391.061386071191
35,2614.8142008452296,4520.839603872516,6460.553099507598
36,2614.8142008452296,4547.864063198715,6400.431659474051
37,2614.8142008452296,4539.093353917779,6363.956485693514
38,2614.8142008452296,4510.895463201133,6958.005408213629
39,2611.9242215131335,4545.864033982818,6434.759513901432
40,2599.4815801707923,4463.548622418667,6404.116234886531
41,2599.4815801707923,4516.777028902628,6286.967198139533
42,2599.4815801707923,4451.313222106021,6471.9453789082445
43,2546.4120702985074,4402.693677422111,6444.071615486023
44,2527.7359145635146,4350.544065408543,6314.787006033145
45,2464.3037940678983,4336.088542350633,6293.815331657707
46,2464.3037940678983,4341.3865174812645,6257.459692294656
47,2464.3037940678983,4252.507038783778,6240.95275632528
48,2464.3037940678983,4299.351705197558,6647.422281802788
49,2458.5696751205364,4232.615207872361,6190.258470179955
50,2458.5696751205364,4265.970347411739,6183.719066419217
51,2458.5696751205364,4217.846475007795,6563.652445906804
52,2392.129805487547,4245.4626282861245,6406.3368241018325
53,2386.153665981848,4174.129069756065,6388.281374555884
54,2386.153665981848,4133.108855900087,6253.540281491074
55,2372.616146367998,4227.252040583635,6150.83938031562
56,2372.455938909454,4225.452148696546,6150.83938031562
57,2372.455938909454,4179.206723197531,6134.823007352191
58,2372.455938909454,4198.521169472763,6286.635378983564
59,2363.312580631632,4212.637009443055,6134.823007352191
60,2363.312580631632,4164.6275778177105,6120.574514041801
61,2363.312580631632,4119.5272337682845,6100.126671730241
62,2363.312580631632,4050.7572213728668,6379.993369398138
63,2363.312580631632,4094.3504172242397,6065.79259251566
64,2363.312580631632,4014.995804601647,5886.456190528348
65,2363.312580631632,4029.988111433719,5994.221965790483
66,2355.35955352924,4040.837325256933,6118.065657856173
67,2355.35955352924,4130.543803358293,5991.934721014761
68,2350.748773560399,4054.4440087354574,5894.296962884193
69,2332.2718823605364,4087.8670891143106,5944.105721685708
70,2332.2718823605364,4121.006834103181,6058.194049497951
71,2332.2718823605364,4073.8671331901674,5986.875013251315
72,2332.2718823605364,4040.1321485115977,5919.948049990278
73,2332.2718823605364,4030.2441325634964,5945.02149318022
74,2332.2718823605364,4070.5004281858337,5899.831076545983
75,2332.2718823605364,4056.305581717894,5899.831076545983
76,2332.2718823605364,4025.473631238488,5875.216763001324
77,2332.2718823605364,4002.1536731677716,5913.08408814831
78,2320.132289986812,4017.0861041246844,5851.074374714604
79,2320.132289986812,4017.692963419837,5844.797721409399
80,2320.132289986812,3948.61051018314,5939.30080007594
81,2320.132289986812,3985.578547416092,5992.025051703274
82,2280.2425718557415,3954.151150060169,5878.731909668348
83,2276.767118385571,3998.0067075657594,5895.430509632836
84,2276.767118385571,4003.241015331038,5823.1682255682945
85,2276.767118385571,4018.1899512342534,5823.1682255682945
86,2276.767118385571,3965.671419070248,5736.673965410571
87,2276.767118385571,3937.1595874985233,5736.673965410571
88,2276.767118385571,3948.565012103981,5818.93981809573
89,2276.767118385571,3975.875800039237,5964.801189468117
90,2276.767118385571,4015.6764748986857,5835.260236237613
91,2254.6225473781337,3986.25946201994,5810.49787209849
92,2254.6225473781337,3968.890452967021,5806.042827971814
93,2254.6225473781337,3958.5163145150336,5818.908435389187
94,2254.6225473781337,3921.214720881195,5767.8192893956475
95,2254.6225473781337,3966.4327740147683,5715.042073726469
96,2254.6225473781337,3948.6023738769495,6033.0559312120395
97,2254.6225473781337,3945.8120421683684,5702.517170666092
98,2254.6225473781337,3908.3607388953865,5657.1035548204
99,2254.5541022980588,3904.7391608785983,5630.423514777673
100,2242.581088122618,3899.126547944038,5619.119835832755
101,2222.841483632497,3864.512594114097,5738.102281808789
102,2222.841483632497,3854.5295286367073,5634.7165161240155
103,2222.841483632497,3831.738891051586,6210.997811970311
104,2222.841483632497,3852.538058951305,6210.997811970311
105,2217.4787488587153,3865.0218304363684,5811.038181909766
