Solutions over population,,,
,Best,Avg,Worst
0,6324.833074,7386.672725,9265.487792
1,4498.99465,6773.820351,8686.593855
2,4323.104381,6524.011339,8625.300688
3,4120.573121,6437.766144,8620.629975
4,3909.861391,6419.760269,8606.218813
5,3730.398473,6403.94944,8599.547929
6,3644.667176,6347.157111,8609.007758
7,3644.667176,6300.933571,8642.836856
8,3644.667176,6332.192447,8620.752648
9,3644.667176,6340.059509,9524.57781
10,3644.477949,6386.421904,8768.270889
11,3629.317988,6317.054271,9320.521206
12,3629.317988,6378.255063,8753.112523
13,3629.317988,6377.99479,9386.525083
14,3629.317988,6255.413955,9050.388751
15,3629.317988,6273.135459,9415.955017
16,3612.201132,6245.301021,8631.34447
17,3601.989843,6305.845269,8642.264204
18,3601.989843,6280.565048,8570.052137
19,3569.239317,6245.594511,8754.189669
20,3569.239317,6209.972288,8411.018337
21,3569.239317,6192.017093,8558.457692
22,3565.850088,6180.117328,8446.103487
23,3565.850088,6155.732702,9318.456735
24,3548.408362,6228.652374,8816.457872
25,3548.408362,6263.664961,8770.939572
26,3548.408362,6149.266246,8617.221555
27,3548.408362,6116.622713,8888.499271
28,3548.408362,6150.699379,8582.236621
29,3548.408362,6149.270659,8707.123879
30,3548.408362,6162.645823,8569.357855
31,3508.711047,6101.908126,8742.21625
32,3490.514103,6082.570457,8380.178583
33,3482.710093,6071.768304,8441.975485
34,3446.397508,6131.807587,8418.175242
35,3446.397508,6039.525565,8418.175242
36,3446.397508,6099.515575,9246.649655
37,3446.397508,6095.063859,8435.483096
38,3446.397508,6039.788727,8690.805508
39,3374.309621,6086.814467,8359.953484
40,3374.309621,6115.135275,8417.704094
41,3374.309621,6106.308028,8483.752637
42,3374.309621,6072.893269,8625.380655
43,3298.541956,6049.361535,8420.629683
44,3266.663203,5983.397349,8304.16008
45,3266.663203,5927.47287,8094.769125
46,3266.663203,5969.583458,8407.206664
47,3246.976705,5976.654555,9232.588696
48,3246.976705,6058.363678,8490.835887
49,3246.976705,6021.518744,8436.300562
50,3246.976705,6102.850759,8479.751997
51,3246.976705,6071.299588,8593.908573
52,3246.976705,6046.33561,8599.97076
53,3246.976705,6029.916989,8638.952477
54,3246.976705,6059.702511,8599.97076
55,3242.891334,6028.505771,8622.905723
56,3242.891334,6010.767945,8320.602151
57,3237.267827,6053.92286,8313.419056
58,3223.661082,6019.922653,8532.039748
59,3223.661082,6012.814179,8523.779582
60,3223.661082,5958.144259,8365.064079
61,3220.309423,5977.084816,8302.92652
62,3220.309423,6036.434123,8526.731129
63,3220.309423,5937.509056,8262.952946
64,3220.309423,5955.933225,8728.33628
65,3220.309423,5964.953225,8674.72996
66,3213.727735,6015.134582,8429.313197
67,3213.727735,5964.183943,8426.041321
68,3213.727735,5935.769246,8409.41502
69,3213.727735,5951.137118,8981.127234
70,3213.727735,6038.11034,8718.774937
71,3213.727735,6053.455239,8786.953848
72,3213.727735,6008.795316,8659.587549
73,3193.405587,6004.036116,8592.436312
74,3193.405587,5999.301556,8428.400135
75,3193.405587,6031.53172,8378.239685
76,3175.401966,5956.672749,8480.329637
77,3163.966208,5954.669521,8334.485337
78,3163.966208,6042.063324,8839.930055
79,3163.966208,6027.094858,8440.399501
80,3129.103453,6050.816391,8779.096837
81,3129.103453,5955.304255,8557.060752
82,3129.103453,5950.285749,8466.878661
83,3129.103453,5945.807096,8629.267178
84,3099.996328,6001.520221,8592.524058
85,3099.996328,5945.384459,8920.183286
86,3094.869571,5892.468415,8933.841884
87,3039.237375,5962.73389,8933.841884
88,3039.237375,6011.652321,8765.839565
89,3009.840062,6071.46262,8765.839565
90,3000.393506,6056.746796,8734.14122
91,3000.393506,5985.435259,8493.262574
92,3000.393506,6018.012854,8774.184368
93,3000.393506,5952.825704,8374.330774
94,2970.542516,5883.908603,8365.057267
95,2970.542516,5875.419965,8365.057267
96,2950.035673,5957.49638,8821.07295
97,2921.639247,5986.689168,8352.445445
98,2909.550069,5938.905336,8426.326244
99,2909.550069,5878.382174,8415.296081
100,2909.550069,5854.850095,8500.744764
101,2909.550069,5895.828835,9290.258247
102,2909.550069,5844.276438,9290.258247
103,2909.550069,5949.14706,8921.823919
104,2909.550069,5903.844635,8420.578489
105,2871.259056,5900.685102,8264.526396
106,2871.259056,5821.12895,8611.938892
107,2871.259056,5769.157856,8611.938892
108,2871.259056,5849.66144,9039.263198
109,2868.853742,5979.444184,8793.797707
110,2868.853742,5957.514882,8374.460898
111,2868.853742,5878.612417,8517.505613
112,2856.369896,5846.739532,8290.016612
113,2856.369896,5856.910076,8233.68531
114,2856.369896,5824.825726,8618.758479
115,2856.017109,5801.848532,8221.429721
116,2856.017109,5866.065167,8246.295672
117,2856.017109,5789.307433,8309.389321
118,2840.193156,5776.683463,8241.906359
119,2831.03646,5822.728995,8325.854536
120,2831.03646,5810.831947,8193.313241
121,2831.03646,5865.595179,8554.824925
122,2831.03646,5941.755873,8402.575306
123,2831.03646,5858.584033,8841.560291
124,2831.03646,5791.207718,8300.609129
125,2831.03646,5862.072132,8427.234762
126,2825.070199,5896.61492,8286.38895
127,2825.070199,5842.714444,8262.217222
128,2825.070199,5877.437906,8836.826799
129,2825.070199,5893.814402,8709.223818
130,2784.24835,5862.835478,8434.68689
131,2759.046574,5862.492739,8434.68689
132,2759.046574,5828.377224,8434.68689
133,2759.046574,5853.035318,8398.625549
134,2757.97645,5757.536885,8398.625549
135,2757.97645,5694.161429,8328.700726
136,2757.97645,5762.512393,8342.682193
137,2757.97645,5731.300772,8417.927562
138,2749.072604,5724.891605,8252.720954
139,2749.072604,5781.432595,8242.562591
140,2749.072604,5697.65394,8351.608441
141,2749.072604,5711.0551,8469.543656
142,2749.072604,5713.939297,8190.402909
143,2749.072604,5704.188203,8674.136273
144,2749.072604,5669.930153,8039.12168
145,2696.909427,5679.858362,8246.535725
146,2692.321767,5665.081085,8818.331387
147,2692.321767,5663.596489,8808.145033
148,2692.321767,5706.619933,8858.540191
149,2664.156878,5744.125147,8473.602886
150,2664.156878,5744.046849,8275.677281
151,2664.156878,5670.794537,8422.209833
152,2664.156878,5680.245042,8494.977838
153,2664.156878,5737.539529,9136.7147
154,2664.156878,5737.551836,8464.478971
155,2664.156878,5737.024992,9202.792197
156,2664.156878,5721.379795,8466.694204
157,2664.156878,5729.572486,8466.694204
158,2664.156878,5742.885771,8577.394722
159,2664.156878,5714.182248,8575.291211
160,2664.156878,5743.018333,8383.791516
161,2664.156878,5736.69999,8301.2386
162,2664.156878,5720.554457,8294.227934
163,2664.156878,5682.128514,8337.049418
164,2664.156878,5710.275225,8247.365031
165,2664.156878,5563.476808,8154.877668
166,2664.156878,5620.775238,9041.80759
167,2664.156878,5648.212954,8391.460671
168,2664.156878,5700.696221,8464.714707
169,2664.156878,5620.743986,8464.714707
170,2664.156878,5628.784916,8239.015817
171,2664.156878,5646.923462,8608.232624
172,2664.156878,5701.885081,8608.04343
173,2664.156878,5666.547306,8381.834048
174,2664.156878,5688.084413,8374.897855
175,2664.156878,5659.387325,8161.132931
176,2664.156878,5613.688197,8472.86421
177,2664.156878,5581.91639,8179.4899
178,2664.156878,5623.288072,8141.641158
179,2664.156878,5680.28991,8339.527238
180,2664.156878,5605.662398,8179.043316
181,2664.156878,5588.468476,8179.043316
182,2664.156878,5646.700254,8179.043316
183,2664.156878,5560.684169,8430.433892
184,2664.156878,5575.467219,7991.400201
185,2664.156878,5651.586097,7959.522589
186,2664.156878,5589.861899,8148.849707
187,2664.156878,5616.573724,8655.611547
188,2664.156878,5627.911599,8071.475395
189,2664.156878,5665.081997,8147.678138
190,2664.156878,5697.161626,8105.057378
191,2664.156878,5630.219041,8096.618789
192,2664.156878,5594.005838,8082.428691
193,2664.156878,5667.635971,8113.303869
194,2664.156878,5619.560453,8105.851256
195,2664.156878,5620.405357,8077.375886
196,2664.156878,5625.104414,8344.693985
197,2664.156878,5771.554907,8179.883309
198,2664.156878,5812.841712,8611.64039
199,2664.156878,5754.224005,8553.303944
200,2664.156878,5693.003979,8625.773562
201,2664.156878,5552.151799,8254.501015
202,2664.156878,5647.513657,8009.086555
203,2664.156878,5604.263104,8508.725955
204,2664.156878,5539.620123,8445.974657
205,2664.156878,5590.484651,8172.540013
206,2664.156878,5595.594634,8730.462324
207,2664.156878,5626.000813,8231.929299
208,2664.156878,5641.292451,8227.979167
209,2664.156878,5692.376378,8284.85817
210,2664.156878,5651.295372,8502.294529
211,2664.156878,5633.55247,8726.534453
212,2659.325319,5592.469102,8276.857872
213,2658.829067,5593.081884,8276.857872
214,2658.829067,5698.133806,8517.567757
215,2658.829067,5707.466166,8132.837151
216,2658.829067,5689.547376,8979.44532
217,2658.829067,5650.382617,8277.246536
218,2658.829067,5622.30606,8240.621142
219,2658.829067,5642.274487,9232.721383
220,2658.829067,5602.905262,8319.739852
221,2658.829067,5718.9027,8251.350379
222,2658.829067,5726.373727,8293.760261
223,2658.829067,5740.49154,8283.476315
224,2658.829067,5680.594925,8437.603411
225,2658.829067,5693.817753,8522.129748
226,2658.829067,5650.847358,8135.653938
227,2658.829067,5686.754041,8382.891781
228,2658.829067,5629.187369,8096.61787
229,2651.577895,5616.466563,8096.61787
230,2642.40116,5649.499573,8080.272731
231,2642.40116,5682.576467,8312.741908
232,2642.40116,5695.596348,9314.565867
