Solutions over population
,Best,Avg,Worst
0,6501.387432167082,7424.908762440573,9085.325251996717
1,5127.716243689226,7031.159773696984,9082.796900015299
2,5019.153516420606,6933.556551678527,9078.591225511194
3,4750.560228339573,6843.636182634487,8752.138533723493
4,4636.474858618045,6790.254647248827,8791.578662548975
5,4439.751529322909,6760.270613825675,8919.114851693974
6,4274.806509551437,6748.7787339730785,8911.978510817979
7,4260.943870975271,6724.879533267016,9924.275884104241
8,4210.330364306395,6704.192890385765,8935.167771341643
9,4158.3319350484235,6692.079993675267,8973.496986528176
10,4134.245572081233,6679.242508094754,8692.555127626892
11,4090.322224604701,6686.97855924398,8701.16976130622
12,4071.05285405101,6663.856057145868,9001.856051400347
13,4067.7737314130754,6603.354987629141,8701.16976130622
14,4067.7737314130754,6593.3825708789045,8656.02572426691
15,4031.9273921322265,6529.022711730977,8748.010065429406
16,3979.86189398409,6496.50884925402,8662.284981383917
17,3979.86189398409,6503.316032433841,8851.454059250236
18,3967.6082895988284,6522.311235588131,8915.018597978342
19,3963.842904112755,6482.459724082519,8676.565252331366
20,3948.851620326417,6480.782112687422,8616.368085606424
21,3906.909254099453,6482.3008127847415,8637.307106248156
22,3901.2468630969533,6453.407285761461,8557.599775058741
23,3878.7039157210547,6428.882419651068,8838.874712353507
24,3878.7039157210547,6440.621537987763,8492.896512501618
25,3868.22877896654,6402.247686835438,8678.162386786018
26,3868.22877896654,6418.261698049001,8555.948633793736
27,3855.4635580679,6433.5923863582175,8555.948633793736
28,3855.4635580679,6439.254429416518,9108.52176472609
29,3855.4635580679,6401.248931506354,9018.82254234414
30,3855.4635580679,6370.549652490956,9177.73697078233
31,3843.8636541869027,6382.66301395802,9288.925077427124
32,3768.4738666156077,6343.252103574176,8505.234579443779
33,3758.7262741593936,6308.772069136595,8674.417526017281
34,3711.79136770605,6312.713999218119,8646.712020843635
35,3685.936597689279,6280.03954508448,8369.39109437303
36,3685.936597689279,6228.144530579851,8360.988641057382
37,3685.936597689279,6241.05861761207,8431.513463815685
38,3573.8829048244293,6312.1376447511475,8991.83418114391
39,3573.8829048244293,6341.451596079177,9085.866726338982
40,3495.4521042950796,6315.707330557908,8894.081823048029
41,3481.075034618605,6306.365483783635,8894.081823048029
42,3471.14114643249,6287.486308477556,9048.498359042915
43,3456.018245399204,6247.374077018363,8313.198204846576
44,3456.018245399204,6213.640935457582,8404.807034451964
45,3456.018245399204,6277.011378362787,8732.306259423924
46,3454.290240608724,6283.812288198813,8428.814752140912
47,3454.290240608724,6210.292108910346,8402.574889605148
48,3394.5008249022217,6195.700274891148,8387.36948700318
49,3394.5008249022217,6182.893332128493,8701.086186682565
50,3367.5101717454468,6225.144400679227,8691.279320170503
51,3367.5101717454468,6220.4140159513945,8622.088661719834
52,3367.5101717454468,6233.03761962491,8589.529828260198
53,3337.9708754869985,6258.049152378295,8589.529828260198
54,3310.1546316683975,6260.200380451844,8755.387701280208
55,3310.1546316683975,6231.737146921801,8755.387701280208
56,3301.429124447317,6224.947410451819,8795.988803052329
57,3301.429124447317,6223.504122716858,9166.1573998493
58,3301.429124447317,6174.767830558563,8593.663999276212
59,3301.429124447317,6220.804008527604,8555.168958687304
60,3300.5322992195333,6173.633754209291,8568.373198604335
61,3300.5322992195333,6144.072885007901,8872.159033527538
62,3292.7253184483297,6073.798555895577,8301.755827512
63,3292.7253184483297,6094.686447171345,8913.998945050116
64,3291.010521757823,6134.236737391719,8597.806911308275
65,3262.714944166176,6183.036145654642,8597.806911308275
66,3262.714944166176,6147.311022414638,8343.047757179593
67,3262.714944166176,6169.346328653234,8404.096052660547
68,3262.714944166176,6151.117120477471,9212.200463947793
69,3229.6014609995336,6157.301397660686,8381.984860880206
70,3229.6014609995336,6179.5191905522715,8508.611680358666
71,3229.6014609995336,6182.2862280253075,8463.470005033094
72,3198.094102000963,6163.175885491269,8453.568455797533
73,3198.094102000963,6130.8462836804865,8284.859358507092
74,3198.094102000963,6150.893847687864,8370.534653018964
75,3198.094102000963,6125.031648225152,8510.333553309096
76,3190.2579913912546,6112.233414933041,8603.042884296832
77,3174.5176687365097,6152.144067751305,8766.969912377566
78,3174.5176687365097,6174.930556873033,8788.097383716116
79,3174.5176687365097,6236.46387489073,8571.722721212129
80,3174.5176687365097,6205.091456903552,8517.590884153688
81,3174.5176687365097,6174.92405445487,8462.03325851119
82,3174.5176687365097,6244.557671127721,8838.768048004767
83,3174.5176687365097,6151.186305134933,8430.766614833135
84,3174.5176687365097,6126.638386917572,8511.589895686451
85,3170.3785246033767,6128.773537904054,8723.566368418255
86,3170.3785246033767,6160.966161464645,8881.540948955946
87,3170.3785246033767,6126.818159220519,8837.84589794404
88,3167.496351420187,6155.785217089886,8559.807170037135
89,3167.496351420187,6120.637380670069,8458.236543882693
90,3167.496351420187,6128.376825338091,8408.324559695488
91,3167.496351420187,6107.232890709595,8408.324559695488
92,3167.496351420187,6102.834103906048,8458.919989046295
93,3167.496351420187,6126.077914561716,8482.028199149181
94,3167.496351420187,6066.057368595875,8459.308464704973
95,3167.496351420187,6087.280085748994,8449.845691869388
96,3167.496351420187,6134.364787353118,9046.020501284613
97,3167.496351420187,6106.9575191007625,9265.615902221109
98,3167.496351420187,6122.068362158728,8307.897163872707
99,3167.496351420187,6092.768157650259,9083.483307327988
100,3167.496351420187,6132.649259993657,9226.781347305008
101,3167.496351420187,6130.74745899876,8481.861314169419
102,3167.496351420187,6126.8019172429285,9190.79659955611
103,3142.9321007219646,6106.424030254342,8686.571448161205
104,3142.9321007219646,6073.384794770414,9188.228975742102
105,3132.0255007902156,6014.7205898542215,8953.882738420494
106,3132.0255007902156,6015.7747387937825,8208.57405833178
107,3132.0255007902156,6034.593412660217,8445.129389833157
108,3132.0255007902156,6030.398084989237,8186.566502351483
109,3132.0255007902156,5979.9971601778325,8331.717808532256
110,3132.0255007902156,6016.736218454393,8865.36953375547
111,3132.0255007902156,6087.866933687248,8676.427267570929
112,3132.0255007902156,6039.0284903929,8460.827613323225
113,3132.0255007902156,6022.420282657157,8600.17235359276
114,3132.0255007902156,5994.240104538318,8646.962716975357
115,3132.0255007902156,6014.327447777908,8636.804644984994
116,3118.79035913301,6047.983196211891,8473.453414534837
117,3118.79035913301,6014.342364488497,8876.319458679844
118,3114.5371027568794,6046.2944776541235,8328.508160558176
119,3114.5371027568794,6024.365760834068,8372.415245134705
120,3114.5371027568794,6078.325128291198,9304.16973887857
121,3114.5371027568794,6122.472239941341,8315.599081561872
122,3106.735297331835,6073.4425516813935,8458.364086809805
123,3106.735297331835,6064.806306602829,8413.952097423124
124,3106.735297331835,6053.558242491301,8283.27704565322
125,3106.735297331835,6051.977307102775,8283.27704565322
126,3106.735297331835,6075.483429424686,8536.558266259533
127,3106.735297331835,6061.336910098366,8539.45563258894
128,3106.735297331835,6055.520365586342,8539.45563258894
129,3106.735297331835,6078.285669844411,8457.063132037925
130,3106.735297331835,6055.377035579344,8473.126989646564
131,3106.735297331835,6029.856114450843,8306.82841561098
132,3106.735297331835,6034.959040543789,8252.881956570349
133,3106.735297331835,6088.839672139242,8619.708949863729
134,3106.735297331835,6025.274330288566,8362.911006445338
135,3106.735297331835,5993.373505842723,8450.127150302258
136,3106.735297331835,6014.377521041362,8435.733058473845
137,3106.735297331835,6066.979525929783,8400.229034811187
138,3106.735297331835,6019.829239233389,8815.293629365111
139,3106.735297331835,5993.042942884827,8795.680048609589
140,3103.816910172877,6004.567435084914,8392.602195284138
141,3088.1678637262135,6006.256830230356,8571.143315267915
142,3088.1678637262135,6012.833735736404,9213.91562228446
143,3084.375014107179,5998.560183550236,8634.574181851713
144,3084.375014107179,5925.403778424,8276.172670282198
145,3084.375014107179,5965.421385296185,8276.406962370898
146,3084.375014107179,5986.359209621808,8310.008545329914
147,3084.375014107179,5917.493845804402,8304.48819023843
148,3084.375014107179,5981.373292986002,8788.500988476038
149,3084.375014107179,5975.277061999199,8624.213656823873
150,3084.375014107179,5962.567163807597,8305.005239515966
151,3084.375014107179,5951.6857582093135,8499.954164928513
152,3084.375014107179,6024.5604314363045,8290.154953532478
153,3077.029071784888,5987.044615247988,8407.88501168372
154,3077.029071784888,5949.846794053651,8662.428465283043
155,3077.029071784888,5988.867582954939,8967.279470220861
156,3077.029071784888,5923.201522416334,8849.24326731954
157,3056.985302306709,5923.135185804052,8849.24326731954
158,3056.985302306709,5946.340847676026,8336.62522172667
159,3056.985302306709,5970.984850324643,8343.139206154041
160,3055.674693032014,5973.16511009578,8333.376107008506
161,3055.674693032014,6048.948301244519,8617.014132343167
162,3055.674693032014,6063.226419135553,8798.44962713242
163,3055.674693032014,6011.73249201065,8397.46693123638
