Solutions over population
,Best,Avg,Worst
0,0.0,0.0,0.0
1,22957.93777603418,28547.65799673574,36737.374188379355
2,22727.669589485755,27564.155813905174,34928.34867054784
3,20600.479703303994,27107.130128189277,33550.6835737573
4,20401.837122683144,26713.442779665816,33460.24218425935
5,20314.614220184354,26305.895463579895,33220.31670512458
6,20153.78511280696,25963.711616129232,33299.28485704871
7,20008.169428525307,25702.37276289747,32899.08851896878
8,19974.14376085883,25430.528785437407,32244.749044533484
9,19823.32220058788,25128.01383911062,31536.44111162292
10,19470.778122038853,24930.924931722777,31536.44111162292
11,19436.436168347595,24699.944126307284,31495.178201217248
12,19355.13711558531,24479.63405437763,30299.184109462385
13,19312.011538531067,24364.57218971108,30299.184109462385
14,19246.62664889783,24199.49402374214,29564.516509650613
15,19244.003339366936,23968.09353426112,29355.87573811114
16,19067.75625187266,23813.266375114577,29155.970986326087
17,18911.513428489136,23879.179208332163,28859.289902374392
18,18900.96329727466,23797.23038294527,28207.44375060477
19,18900.96329727466,23655.006017103562,27868.458209681787
20,18865.57872539875,23475.164392735038,27868.458209681787
21,18851.03516058267,23433.61685230471,27731.147390230777
22,18805.694627298337,23238.153784738006,27519.9697368783
23,18794.65612422241,22981.942387376348,27314.917597090356
24,18794.65612422241,22928.18044497988,27164.07274322275
25,18794.65612422241,22810.976733840733,27164.07274322275
26,18794.65612422241,22880.30088973476,27232.03397535083
27,18794.65612422241,22823.4718491771,27171.602905057865
28,18726.560043168633,22804.64822167456,26859.54286047553
29,18690.30480331064,22662.134244680998,26895.19756304444
30,18690.30480331064,22672.256192525543,28298.308045713282
31,18690.30480331064,22664.218541849357,27958.010221703506
32,18666.36049168948,22615.570145479564,27796.629538621233
33,18503.443265329923,22542.99264960303,27665.08628798694
34,18503.443265329923,22559.77714817436,29033.34527994735
35,18298.206408603837,22490.186131423172,28966.589110666406
36,18224.718546856966,22598.614436020078,27215.811661947104
37,18223.32535193413,22534.235637336227,27215.811661947104
38,18123.206342671867,22430.840476166635,27215.811661947104
39,17945.563817239054,22361.854537225998,27215.811661947104
40,17856.905655270173,22395.72458672612,26937.68734330254
41,17853.887526419752,22304.908276990358,26784.50884538346
42,17853.887526419752,22392.46857835619,27436.981260279354
43,17831.79550319963,22301.280500414927,26669.110225078035
44,17831.79550319963,22342.320510880138,26669.110225078035
45,17735.545505847615,22238.70235215428,27283.537032746837
46,17735.545505847615,22123.625592097873,26032.90319481776
47,17735.545505847615,22016.110480167194,26716.14450397141
48,17735.545505847615,21998.448028524363,27276.00396987571
49,17413.552855206475,21891.493038876466,27139.144071281422
50,17413.552855206475,21821.36643662656,26104.121491122067
51,17413.552855206475,21911.61788294361,26161.277611710946
52,17413.552855206475,21973.79299728483,26297.252222037736
53,17413.552855206475,21817.981240042085,26341.96906680435
54,17351.552886000125,21756.812930050874,25849.772046817372
55,17306.10514245727,21600.01179384398,25909.260494877155
56,17306.10514245727,21582.520323505098,25609.09203296314
57,17261.22376840499,21531.454742589696,25637.150603582344
58,16930.859610846033,21496.555334265548,25946.979299709412
59,16850.280367394807,21442.056176290094,25848.26404351386
60,16850.280367394807,21435.896206055208,26162.916437217726
61,16736.800008903578,21392.86939592867,26162.916437217726
62,16736.800008903578,21433.02797247951,25678.88503382212
63,16677.07341891216,21333.221190187596,25057.431793036456
64,16677.07341891216,21274.64588628793,25057.431793036456
65,16579.777600489866,21299.40111076653,25208.863086139776
66,16518.248560095984,21248.477016382,25320.983771580217
