Solutions over population
,Best,Avg,Worst
0,24019.987118621157,29873.056760200605,37811.14425718263
1,13863.284370134148,24458.986598503012,33389.415986922424
2,13160.473895466037,22993.65483287471,33389.415986922424
3,12972.763628193337,21921.36098372404,31712.97683602432
4,12821.58806997908,20813.79837731478,31712.97683602432
5,12638.643191811796,19966.47658393422,29605.05764670212
6,12539.056979197729,19254.480354668445,27306.11217668358
7,12398.229706098187,19233.55155498624,26617.03823432359
8,12136.457099956144,18876.562620514353,26480.202649767973
9,11810.693396280176,18553.326067170132,25634.086234322123
10,11772.798107906667,18393.719282003764,25634.086234322123
11,11747.0431783582,18316.170292359897,25251.007383517248
12,11571.579691244267,18045.70422148296,24398.508470183482
13,11289.088336401133,17961.86273044206,24367.329282200826
14,11141.969004800161,17916.389807811775,24267.978906163204
15,11138.05822128196,17519.848968955022,24030.920989604972
16,10986.298487485647,17702.91080757487,23984.064710016162
17,10986.298487485647,17631.398231422307,24092.118518856507
18,10889.0463536259,17484.654509431555,24092.118518856507
19,10785.919220044174,17128.85792772553,23293.815143123382
20,10602.806318358942,17254.236671013285,23192.224979552135
21,10583.245369755838,17201.610345184785,23192.224979552135
22,10583.245369755838,16890.36597572358,22844.120501541503
23,10572.155280624986,16968.884356680166,22711.141872658725
24,10572.155280624986,16863.044545746678,22952.99254947956
25,10501.050469550646,16792.611646332192,23079.219314707563
26,10454.605974612808,16753.197351636387,22385.998540794488
27,10449.908834532529,16709.320551488054,23066.645006519462
28,10396.103538059571,16718.670878542074,22241.363648758528
29,10396.103538059571,16560.78143318244,22896.965206400342
30,10387.697672625967,16536.37410360253,22896.965206400342
31,10282.730007914191,16570.947192522395,22837.65202906965
32,10251.0695360236,16536.041781508808,22183.265346477852
33,10184.325780511206,16507.317271244414,21803.410011927535
34,10140.826359456845,16446.92564510737,21734.790694038467
35,10139.26835498177,16356.374231367954,21736.71108984262
36,10139.26835498177,16214.887866149995,21752.731401364792
37,10135.124012188437,16235.78573236143,22023.815663605837
38,10135.124012188437,16152.81535587617,21736.71108984262
39,10055.18149213008,15944.169981271234,21723.79012832765
40,10055.18149213008,15850.44559551157,21723.79012832765
41,10055.18149213008,15783.019286054137,21678.097936028982
42,10010.185061153894,15771.812014613157,21304.172670698357
43,9978.99621103878,15829.69813879354,21237.154574064436
44,9861.431883725312,15896.9554725263,21266.78346979396
45,9838.138666130226,15950.659029635692,21573.7522409838
46,9813.888589550472,15890.904067563752,21795.060160359826
47,9813.888589550472,15815.018990383116,21091.767583881785
48,9800.249320858478,15732.72271130173,21312.211373984286
49,9800.249320858478,15644.616811367145,21662.85342024048
50,9800.249320858478,15709.953721987958,20988.9917182329
51,9800.249320858478,15712.522637254473,20970.2482264966
52,9800.249320858478,15570.213874515679,20970.2482264966
53,9757.337373111412,15647.927944640032,20885.32058056749
54,9738.811448117727,15544.805544336103,20843.70902256366
55,9738.811448117727,15427.792929721047,21003.566628989505
56,9692.394726031383,15515.089416333332,20923.636706736965
57,9687.566885149992,15503.574356437986,20947.248952009413
58,9687.566885149992,15150.923263038958,20843.70902256366
59,9635.137933047325,15132.230223835424,20889.439567755697
60,9610.769158570552,15146.325927215685,20404.160084444335
61,9580.432032668941,15043.527178471732,20255.193730174786
62,9565.580802389539,15144.217732689358,20718.009384297242
63,9534.456100811492,15029.627534330177,20830.099029291112
64,9516.805194538809,15144.210847544144,20095.26575162184
65,9512.208281974466,15127.884378005241,21061.91737848587
66,9418.02293569426,15029.398103830888,20072.48407579929
67,9397.225552479422,15036.056011267057,20398.0818317211
68,9397.225552479422,14862.919014367064,20388.037745946745
69,9397.225552479422,14820.925689435606,20138.353215458952
70,9397.225552479422,14765.25954122807,20394.148869932716
71,9397.225552479422,14890.416359303585,20394.148869932716
72,9397.225552479422,14996.784231789119,20341.907252126617
73,9397.225552479422,14913.274622488283,20341.907252126617
74,9391.64193151702,14846.30706759102,20168.805642172825
75,9388.252460307893,14814.563481780757,20119.92398424414
76,9353.014522340884,14674.769432477036,20548.610268171848
77,9353.014522340884,14681.891181548592,20290.21320483406
78,9341.549604771135,14578.267006473896,20614.51838649095
79,9305.514725536503,14504.418848909614,19952.70747413083
80,9213.012842394759,14580.909101895757,19623.46401167027
81,9200.743553926748,14369.451544419771,19998.65482791585
82,9133.969180720602,14401.464340933575,20072.053995514754
83,9123.408785786267,14311.760815172118,19587.926471407925
84,9123.408785786267,14478.5199661733,19257.597486409242
85,9123.408785786267,14235.572713056703,19257.597486409242
86,9111.84848991258,14102.43043851183,19257.597486409242
87,9111.84848991258,14039.0980069545,19498.194465233773
88,9111.84848991258,13981.617889290465,18812.54331874533
89,9008.24961081216,13972.34531920515,19007.687572197
90,9008.24961081216,13892.199068277261,18756.323064006232
91,8958.511024442421,13932.260164455838,18725.898952427568
92,8931.64843643058,13844.22305608782,18539.653771313417
93,8887.740275614378,13655.198377694544,19196.58568940209
94,8805.124949620375,13589.155634368886,18796.01213133426
95,8752.326285920017,13731.993074834247,19519.615297563236
96,8737.124632062172,13628.564289721966,19184.30700480648
97,8726.088189427428,13602.683501181178,18312.23257266958
98,8726.088189427428,13564.12803232599,18312.23257266958
99,8717.076516023137,13482.213274096373,18427.895717897343
100,8710.20042816339,13354.852168706177,18671.158183388292
101,8698.281028393445,13370.09974042337,18413.2764569654
102,8681.33944633451,13370.406455346914,18327.639322973937
103,8669.907992474182,13180.931144330534,18178.40211337369
104,8669.907992474182,13250.35022547154,18141.367962984485
105,8669.907992474182,13211.965947721119,18232.10180202189
106,8669.907992474182,13138.098498782843,18204.972240588613
107,8669.098568958925,13015.824204473965,17927.509520199015
108,8669.098568958925,13063.057842075466,18117.21528440657
109,8581.435473555386,12993.670523870613,17924.73966975051
110,8564.543826103423,12987.15883912703,18163.299973623798
111,8564.362497486469,12962.180131030422,17976.031296301542
112,8490.44813988612,12884.350565225066,17301.420828394614
113,8490.44813988612,12793.964898718952,17684.415355939218
114,8446.76357697859,12777.80294644075,17546.2353089317
115,8403.123904300135,12718.814736835326,17481.001891120424
116,8403.123904300135,12618.987843945712,17220.730117852265
117,8390.839968435437,12682.982101884385,17091.298067114338
118,8390.839968435437,12517.724207142459,17091.298067114338
119,8390.839968435437,12359.132443726407,16628.632566989054
120,8385.796102811924,12320.758776089286,16695.20174785758
121,8385.796102811924,12301.513354900886,16576.765211409824
122,8377.590251757169,12168.843205485176,16612.1164854651
123,8322.320862272049,12232.35422140122,16530.746229631564
124,8320.833353815866,12037.828681126372,16398.82343626496
125,8320.833353815866,12088.689662647312,16120.734103398829
126,8320.833353815866,12200.849526802234,17101.791556454657
127,8290.212847336465,12153.497589789387,17010.214893664863
128,8287.16126917544,12157.41509303212,17177.81322345289
129,8243.23316905541,12110.804849306789,15823.548804065695
130,8210.037316665892,12075.332472361175,16182.385150047767
131,8210.037316665892,12134.15788679835,16372.986705630814
132,8191.864373717702,12061.415901216875,16686.461542158737
133,8177.238791084428,11993.981109569855,16326.859444790694
134,8149.37947271327,11941.188540600097,15774.191588891608
135,8149.37947271327,11870.350776331867,15789.029328775867
136,8144.004111943001,11926.602364675698,16015.288836682585
137,8123.936387866612,11930.667005303172,17352.865675791792
138,8123.798930378254,11995.389572485408,17493.316041837305
139,8123.798930378254,12040.650305066321,15957.444186315372
140,8087.171464950289,11995.34002233453,16149.664893452695
141,8087.171464950289,11871.02455264605,17067.879388018686
142,8087.171464950289,11752.929400760671,16291.266239542952
143,8077.3603239708555,11815.832457894461,16291.266239542952
144,8071.152097244698,11719.695102696498,16146.043811906213
145,8071.152097244698,11613.397367685033,15802.989245563791
146,8040.948802395111,11670.485449907243,15874.99877945239
147,8034.980446365509,11686.19003447135,15819.20696720548
148,8034.980446365509,11742.688729810941,15494.398586499292
149,8029.086324897071,11553.83534632994,16003.005694725012
150,8029.086324897071,11479.201687867178,16397.333115873924
151,8029.086324897071,11610.33505481172,16391.686759461834
152,8029.086324897071,11572.999613721113,15522.600890611253
153,8002.892081658751,11519.202765091806,15653.218913516772
154,8002.892081658751,11425.632475869837,15590.953618149166
155,7977.362456163273,11424.461384729157,15464.870050379843
156,7977.063413525966,11426.611686637665,15793.835789880897
157,7968.467664418564,11335.074806924395,16158.345962945568
158,7954.760431079392,11325.667844889096,15903.798460888665
159,7951.684038572211,11385.269237066077,16567.162249841782
160,7909.454799867319,11359.8113168019,15400.175905950666
161,7909.454799867319,11462.69868662323,16334.211534127635
162,7906.79422584636,11395.789298982509,15226.827642381448
163,7906.79422584636,11415.413255008634,15309.538201349747
164,7906.79422584636,11354.748149453011,15300.659706234917
165,7906.79422584636,11331.427004109719,15247.338923050438
166,7901.584171073992,11476.062067361556,15579.883076357091
167,7901.584171073992,11419.501741111988,15461.780118590857
168,7901.584171073992,11342.269373781997,15461.780118590857
169,7901.584171073992,11249.488778610237,15603.765085216095
170,7901.584171073992,11260.104483382367,15224.994645456534
171,7898.434612546457,11327.135010893597,15064.66657802638
172,7886.250959806315,11160.41235840972,14842.701563704748
173,7861.864825297117,11142.78017832075,15905.876298894054
174,7861.864825297117,11171.886795028817,15860.724451723338
175,7859.830625106876,11257.580258736036,15860.724451723338
176,7852.536516225228,11146.099746012955,14993.004545320713
177,7852.536516225228,11251.116294051264,15339.253585318345
178,7835.238999427617,11274.620544890675,15272.749283334011
179,7835.238999427617,11171.681827614599,14944.177330156235
180,7835.238999427617,11201.650142689537,15137.646846703328
181,7835.238999427617,11141.506417064553,15224.035552225447
182,7835.238999427617,11111.246058474726,15650.601377043911
183,7835.238999427617,11080.751386722703,15316.61906343382
184,7835.238999427617,11089.664275752546,15557.725145778293
185,7835.238999427617,10967.156273312548,14935.889594135224
186,7835.238999427617,10942.844928464365,14874.542840439559
187,7821.964167634552,10973.252716798428,15589.879469502734
188,7821.964167634552,10884.803800906875,15562.439985377054
189,7817.671579732394,10827.683559987734,15458.5578086102
190,7806.278911100126,10686.492637232768,14380.399981927956
191,7739.426978538261,10705.764988778747,14506.209067161366
192,7739.426978538261,10689.017512341956,14623.154156597731
193,7739.426978538261,10644.824913106184,14595.10549981798
194,7739.293536951912,10708.734128008688,15021.99498865493
195,7736.764230408275,10791.610487054775,16426.724354428014
196,7736.764230408275,10743.699810235485,14471.411023257733
197,7736.764230408275,10699.307220454899,14951.166437681915
198,7735.975651958473,10690.836294576742,14916.7098927626
199,7735.975651958473,10703.040874667036,14916.7098927626
200,7735.975651958473,10730.125456025069,14604.851763515971
201,7702.70789042791,10784.857721394834,14602.017538210337
202,7702.70789042791,10697.377579860091,14799.41223387407
203,7702.70789042791,10803.93674838554,14557.209282498827
204,7702.70789042791,10868.977678738467,15014.852144078406
205,7702.70789042791,10789.185415108195,15013.809955165714
206,7702.70789042791,10910.208585439275,14562.119771767251
207,7689.550489352853,10982.704223862813,14784.680582908579
208,7675.349134340898,11117.50451657222,15501.430666159415
209,7675.349134340898,11148.575359335584,15667.60729114236
210,7654.591792532216,11136.503591126273,16409.465443776055
211,7654.591792532216,11121.32024885296,15983.196616060754
212,7654.591792532216,11089.78248843746,15402.96028960176
213,7654.591792532216,11018.294672276199,15150.242747760232
214,7654.591792532216,11022.714841084215,14848.283579195902
215,7654.591792532216,10981.109959892665,16074.802441541964
216,7642.865284014504,10871.573526953898,14680.17796915087
217,7642.865284014504,10878.694779350353,15253.661886823158
218,7642.865284014504,10942.56074571515,14753.265820104054
219,7642.865284014504,10852.920718728132,14753.265820104054
220,7621.56952621212,11008.985706246525,15677.634451327449
221,7621.56952621212,10896.564401093556,16862.659695709415
222,7612.637938499647,11001.255810285968,15481.659805672842
223,7612.637938499647,10924.419640889439,14658.565406307262
224,7612.637938499647,10877.441952672063,15353.181724851052
225,7612.637938499647,10840.567637972576,15195.082933640926
226,7612.637938499647,10942.75836873748,14775.22647808267
227,7612.637938499647,10936.114773191994,15188.200259534071
228,7612.637938499647,10874.111062573471,15219.178587566606
229,7612.637938499647,10936.035273660838,14820.143344058983
230,7612.637938499647,10933.179773899394,15315.678250897914
231,7599.078970189223,11005.263472860306,15932.990655989086
232,7599.078970189223,10994.52674862843,15543.177424433017
233,7599.078970189223,11043.82875293779,16341.447292894878
234,7599.078970189223,11086.314231826565,15567.534643474826
235,7599.078970189223,10957.869522399476,15567.534643474826
236,7597.693861750284,10933.916692081495,15213.539804357597
237,7597.693861750284,10978.491795743914,15170.484256303334
238,7597.693861750284,11063.452218057042,15126.089082308567
239,7597.693861750284,11023.336617326866,15408.954195603394
240,7594.900895672694,11132.62776663413,15519.775227472976
241,7594.900895672694,11140.39706347967,15567.289443616311
242,7594.900895672694,11077.913246102316,14873.835734515718
243,7594.900895672694,10961.605054315321,15532.032550911303
244,7580.692717597059,11013.466777662172,15532.032550911303
245,7580.376720863837,11011.679864249281,15202.971992005607
246,7540.462349728207,10992.07166428845,15509.138653334487
247,7540.462349728207,11021.035582187338,15022.685397898527
248,7540.462349728207,11068.410250820707,15103.286640027922
249,7540.462349728207,11106.773331387742,15592.71276447159
250,7540.462349728207,11213.35032924526,15243.100134774842
251,7540.462349728207,11074.91617469644,15012.03642688172
252,7540.462349728207,11212.441774373809,15828.744247037579
253,7532.529260004952,11129.872984371646,16496.71561711066
254,7532.529260004952,11095.380419623796,15180.875057008127
255,7530.369777345213,11138.501711005885,15328.431653027976
256,7527.783017271016,11088.413134213437,15944.976734418186
257,7527.783017271016,11140.298253413108,15459.776490904482
258,7523.4832582831405,11061.92614773611,15773.871741701492
259,7523.4832582831405,11138.516692664942,15773.871741701492
260,7523.4832582831405,11053.516388097854,15283.473009278347
261,7523.4832582831405,11135.658643655197,16287.330047204354
262,7504.622858844426,11046.023972220277,15854.309239039882
263,7503.418397349198,10933.745536565753,15501.68649835448
264,7481.653792216075,11121.191403245628,15501.68649835448
265,7481.653792216075,11067.942545430691,15461.76490125181
266,7466.14250130522,11074.105350747752,15447.86108313295
267,7466.14250130522,11134.348796326709,15639.789468152236
268,7466.14250130522,11099.74108071957,15563.217674331496
269,7466.14250130522,11158.839689485854,15732.12237486651
270,7463.7709541315835,11130.045383903962,15548.165153691732
271,7463.7709541315835,11055.147153875718,15656.03224506618
272,7463.7709541315835,11059.965889338446,15648.469043876023
273,7463.7709541315835,11076.102802982701,15550.190401294189
274,7453.5932099052625,11030.684473864303,16006.558062634229
275,7453.5932099052625,10915.569932850894,15964.209945421033
276,7453.5932099052625,11052.75443062559,15297.956747836903
277,7453.5932099052625,11022.584269070876,14731.66777686813
278,7440.067271496357,11053.6713871967,14722.021217498303
279,7440.067271496357,11218.633919277243,15588.296254491976
280,7440.067271496357,11156.053331452707,15475.138681032606
281,7440.067271496357,11073.515853634226,15284.9036028381
282,7440.067271496357,11014.621826051529,14945.01948496452
283,7440.067271496357,11089.786272255935,16255.227882664176
284,7440.067271496357,11020.814245757821,14906.557812323654
285,7440.067271496357,10956.876260485176,14862.064104094477
286,7438.946719002224,11051.227423665878,15913.488183704092
287,7433.484708493966,10982.77717381932,14930.66243595181
288,7433.484708493966,11009.79332439686,15471.555761009848
289,7431.919280584583,11009.0019509214,15824.391149643447
290,7431.919280584583,11085.56692813212,15071.853214155693
291,7431.919280584583,11045.243908158895,15584.767562923327
292,7384.64436580208,10947.996335056487,14667.760498384247
293,7384.538589743394,11007.100089518262,15127.055267991493
294,7384.537338447526,10927.837544492471,14751.621760070095
295,7384.537338447526,10977.810558267318,14952.685867396509
296,7293.146245981208,10946.29654580524,15330.968703403016
297,7289.310716621647,10963.851015545164,16783.684664751156
298,7289.269276661419,10904.416381558056,14994.60532950351
299,7259.906168309564,10927.50291176789,14971.58648271692
300,7259.906168309564,10888.16769931478,16020.619725503551
301,7259.906168309564,10888.392247428967,15249.710841113454
302,7250.838904780292,10842.340296142454,15247.597490708482
303,7250.838904780292,10898.871954344002,15249.22762772061
304,7250.838904780292,10929.761561148509,15253.36650537908
305,7250.754860673241,10955.660089320138,15963.67229631318
