Solutions over population
,Best,Avg,Worst
0,24938.514548358995,29811.15575694145,35247.527408545706
1,13535.11705263264,24213.38718438639,34133.043049427855
2,13603.582734378284,22486.548012617986,32866.025388242604
3,13098.698751900338,21785.260624403083,31668.416502227585
4,13098.698751900338,21083.767107827018,31258.74031769394
5,12919.365486620587,20777.044649825857,29289.593981689028
6,12912.386249421977,20044.097995094646,27534.62235971818
7,12905.652436166727,19282.271198781484,27480.360541632945
8,12851.672659220176,19125.375816303003,26306.54751944748
9,12643.675315216662,18939.042120337574,26306.54751944748
10,12643.675315216662,18695.363513420525,26306.54751944748
11,12454.630456817436,18672.889335237083,24729.300595083252
12,12193.986071633488,18675.57413444479,24729.300595083252
13,12083.26247484864,18510.302394903483,26025.772152787857
14,11971.805879733727,18463.09577289166,25504.140572922162
15,11948.583975780753,18411.465629213497,24984.445142200042
16,11826.601397638458,18281.921717678408,24655.290415634176
17,11826.601397638458,18232.608486743422,24859.010116287387
18,11818.796766170817,18011.53836471046,24859.010116287387
19,11818.796766170817,17876.30177263344,24247.41329638644
20,11755.138777848226,17670.934128766523,24271.23287182168
21,11754.927164934526,17672.05094157053,24310.532866778325
22,11743.245809490241,17655.968200827458,23710.236573657734
23,11737.45999575042,17708.288810482434,23810.94913921417
24,11718.423505370103,17680.183979290872,24147.519139897424
25,11487.0650683786,17445.34975447151,24105.8101749165
26,11407.053255193741,17539.531655970262,23686.366944213907
27,11407.053255193741,17322.27456994625,23318.193476139826
28,11348.104804984827,17261.717212550666,23163.096812307973
29,11268.88391536867,17354.488451146182,22941.351243587993
30,11246.786401597647,17380.536780254788,22925.59750620679
31,11098.39888134728,17372.110176626866,23549.485448750773
32,10993.42363021676,17263.6017703918,23318.427958274522
33,10977.71018810757,17130.659287216196,23584.884650882705
34,10967.88971672995,17156.117009230664,23758.896337942344
35,10967.88971672995,17187.743843563472,22787.473864696512
36,10932.03527632019,17058.19021227898,22928.339817414988
37,10819.003800285594,17088.126946021483,22928.339817414988
38,10705.789517383757,16932.912780942574,23238.013791139307
39,10653.71398764462,16902.594727125645,22662.898285718064
40,10647.260789526508,16682.920203419115,22626.631744933944
41,10607.410323535822,16479.61092241298,22316.197409872177
42,10607.410323535822,16504.475756342836,22289.53827890426
43,10604.169812114827,16317.398556417904,22361.720000730285
44,10604.169812114827,16591.03969450074,23014.93432968328
45,10382.926934296269,16558.1057876697,22847.385926602412
46,10354.921655259046,16500.041991113285,22847.385926602412
47,10354.921655259046,16482.07243718736,23024.23475573855
48,10354.921655259046,16341.152254706936,22528.881120048187
49,10354.921655259046,16222.309631159962,22528.881120048187
50,10354.921655259046,16341.77973996131,22528.881120048187
51,10313.048890476573,16068.810557646624,22497.683621650176
52,10313.048890476573,16350.502216509707,22602.962429173178
53,10313.048890476573,16205.022482071578,21961.261805413695
54,10305.957011200318,16089.062113879181,21810.5722880425
55,10255.75718721457,16099.781023536243,21810.5722880425
56,10255.75718721457,15792.17875162921,22887.40192065445
57,10241.299033943615,15973.18619216913,21679.311192654928
58,10234.10797485588,16103.49180048226,21799.989327150895
59,10234.10797485588,16063.872424238916,21675.589991055018
60,10234.10797485588,15906.147413831808,21557.927068483496
61,10217.59993935511,15840.383454283314,21648.31705044098
62,10217.59993935511,15840.478908301504,21303.514038266432
63,10151.95755862166,15803.420089913698,21295.669899973014
64,10019.904714810014,15625.128276137819,21502.54345167395
65,9989.863096330573,15506.013678326412,21927.040637527152
66,9924.500694116183,15493.759697993486,21909.3749304083
67,9910.149692166564,15625.260159918245,21910.522233916145
68,9888.587887097878,15675.025043193245,21494.765334569656
69,9888.587887097878,15560.830688283704,21903.072242662252
70,9888.587887097878,15689.345948393571,21903.072242662252
71,9888.587887097878,15528.06315711263,21918.796909233402
72,9884.708052563485,15700.885055478753,21385.592763587174
73,9868.519873231078,15502.990497639421,21422.374679634777
74,9763.469266204263,15551.892787217852,20912.25066908053
75,9763.469266204263,15597.30580155363,20956.415479433745
76,9762.48184126465,15551.623925868462,21525.89633123337
77,9762.48184126465,15461.345361612872,20988.950204734087
78,9762.48184126465,15338.014877000176,21047.572639764076
79,9724.951510216852,15309.596562678895,20682.290574362625
80,9696.708171977682,15427.930559688017,20549.294056555173
81,9626.435138269531,15128.279984945193,20755.215856333612
82,9473.466595343505,15160.399017997226,21205.51464208513
83,9434.947251066933,15306.720242947484,21159.36784926854
84,9429.53929378865,15222.452442256119,20643.458921472546
85,9250.185983045527,15288.90358519788,21274.21632801633
86,9214.263397757382,15189.48356536875,22398.027288558358
87,9214.263397757382,14951.951722870313,21301.13501692413
88,9181.724292654957,14983.817216995512,21594.164406526197
89,9148.030687700775,14902.450145566298,21160.84887948892
90,9148.030687700775,14857.658107247604,20990.344017999738
91,9148.030687700775,14693.369972012257,20990.344017999738
92,9148.030687700775,14522.143291816183,20550.463442130604
93,9148.030687700775,14595.882130853484,20536.899579674453
94,9113.732028475726,14879.062608875844,20322.519217458273
95,9113.732028475726,14835.75762646267,20530.224509791235
96,9113.732028475726,14768.018321287436,20869.196790284932
97,9113.732028475726,14826.447642614276,20717.782881918476
98,9113.732028475726,14829.61479917817,20650.56238315905
99,9113.732028475726,14769.212236861464,21102.670004293497
100,9066.645044181085,14693.46367788628,20384.156844455923
101,9063.808413636867,14588.825464512605,20346.14777875428
102,9051.301537858926,14466.433187171499,20317.782177287674
103,8974.372368524573,14486.346237813756,20613.33695298042
104,8940.929450922538,14545.211439541932,20700.004440565528
105,8923.28087848807,14392.61908529441,20072.540760624393
106,8923.28087848807,14378.41465988452,20262.801635934586
107,8828.69439588167,14359.64840212274,19835.8800362004
108,8748.994266586684,14279.058092472744,19824.435297871656
109,8702.362277994967,14130.088950973537,19785.597217563387
110,8702.362277994967,14223.464837055244,20026.54833305188
111,8697.650109713368,14243.595290009245,20026.54833305188
112,8697.650109713368,14180.339153188905,20814.179289134878
113,8697.650109713368,14117.95281691782,20150.870146461377
114,8697.650109713368,13956.68727950674,20053.35790549841
