Solutions over population
,Best,Avg,Worst
0,77281.64728910335,87215.19579203919,97897.68862184795
1,71272.09209828041,81418.17102237443,92718.87478485804
2,67179.82809839604,76816.39287027785,91644.3630564362
3,65679.70103756402,73488.91403289337,88992.98978176014
4,64395.38620439947,71509.25390132725,87165.5602074216
5,64358.5833309243,70310.42877893109,85016.62530286168
6,62990.56276438295,68900.81722867285,84539.47632885544
7,61503.365664252146,68286.3235936531,84162.85477946125
8,61020.40428175211,67170.80726915108,80125.4260484199
9,60965.718496664005,66447.51358276141,73490.01646624116
10,60719.26745091806,65944.92747244248,69755.0187601251
11,60604.81202936348,65726.0766226245,69861.27568473891
12,60243.66134864236,65437.30416383162,69031.43105352338
13,59556.3080838118,65011.512129527015,68993.64164338238
14,59518.33387295405,64762.78696582886,69777.22560095009
15,59410.14494892568,64489.42858404927,68750.66440814607
16,58838.644995438,64085.62264497183,67975.47490021949
17,58587.79113085863,63677.77484789568,67934.83539654498
18,58416.9672527783,63657.98321294122,68052.75225754155
19,58416.9672527783,63639.71008692552,68289.96568212035
20,58155.46169288923,63508.86231737956,67678.36398536114
21,57813.90519109165,63369.70682918456,69205.93570473453
22,57813.90519109165,63310.46364626173,68181.31115496205
23,57813.90519109165,63015.362020778,67828.78816807384
24,57813.90519109165,62850.29720074098,67703.2775330905
25,57813.90519109165,62728.764750261325,67642.1671290698
26,57594.92018160549,62396.57820332367,66900.12184048424
27,57515.43594598071,62531.855134181,68062.70005174611
28,57515.43594598071,62467.84860537354,68062.70005174611
29,57415.87806863324,62406.32428100666,66948.9958433143
30,57234.393762292515,62225.421793043126,66307.38349107222
31,57182.53771352164,62338.58527540217,66307.38349107222
32,57104.5577996562,62250.67176081963,67016.95466839508
33,56599.399338205716,62150.97188887469,67764.75609306552
34,56449.09258424966,61745.759077913935,67493.20622010673
35,56449.09258424966,61600.303661572805,66313.62152969155
36,56340.834607040815,61654.88001180436,67012.89042855857
37,56317.56836002036,61208.01187682584,66545.05243272401
38,55796.15981066742,61214.61388900198,65775.7854339855
39,55639.86773919328,61209.69001636021,66264.42721292237
40,55380.45740065123,61130.97390398865,65631.81522487401
41,55370.192656690044,60989.87471263785,65896.0703643069
42,54792.50533415849,61028.63943752938,66237.97715736534
43,54792.50533415849,60912.97377805797,65547.49195108862
44,54747.84455048764,60947.98136714456,66456.7764308872
45,54738.94297727431,60852.65792485226,66174.6653869421
46,54738.94297727431,60826.57801805702,66195.23947094716
47,54723.20357131841,60900.674642024685,65965.08527215448
48,54723.20357131841,60995.42362719278,65180.947481073854
49,54723.20357131841,61004.067213691065,66752.81530155416
50,54597.94368208396,60863.190824655176,65882.87411285815
51,54354.253802110645,60663.96852324487,65765.93174480632
52,54219.01555693981,61121.908391529905,66721.36313999907
53,54219.01555693981,61068.80116078483,65564.14655527324
54,54168.556618177434,60740.70969967208,65119.044606377465
55,53910.919676582416,60583.14313224982,66032.36254982694
56,53894.489129839196,60514.74450201306,65262.68989101734
57,53830.34736899332,60641.60290697859,65701.04007136388
58,53830.34736899332,60773.3737095439,66010.7928374071
59,53763.238431407975,61019.10114873297,66994.35088465599
60,53763.238431407975,61014.767987618245,66715.46953583679
61,53763.238431407975,61117.39106385109,66715.46953583679
62,53763.238431407975,61117.13502202076,65372.85651382379
63,53763.238431407975,61063.39951243977,66977.8867905727
64,53763.238431407975,61077.8730536491,66555.02002083085
65,53763.238431407975,60962.1175541332,67324.38875045774
66,53763.238431407975,60923.82924133514,66595.73393729854
67,53763.238431407975,60667.33602645591,67496.64248399285
68,53763.238431407975,60466.37768148688,66319.62699618394
69,53763.238431407975,60030.09539408537,65924.08032490095
70,53763.238431407975,59553.683954575725,65924.08032490095
71,53539.479265127266,58915.557298759726,65169.0844454794
72,53364.98776715638,58414.891151402415,66891.27675579442
73,53289.436431276736,58426.35115689098,66261.91528185035
74,53282.40871881154,58262.26869005579,64688.901139468086
75,53282.40871881154,57594.128594580085,65579.59970764519
76,53282.40871881154,57217.68359665088,65579.59970764519
77,53264.769938591606,56909.832141122446,63664.68384884385
78,53100.411657161625,56657.328731891736,63318.79433025677
79,53100.411657161625,56412.82951645556,63594.47712955561
80,52920.736627870836,56285.32930487385,62254.213799837744
81,52902.16362181409,56201.2267501661,62397.12820048483
82,52859.4179587635,56196.80020299385,61880.28388347807
83,52383.52083847313,55846.8276858735,61849.446942356684
84,52107.82750187427,55477.48878046927,60687.6114648031
85,52107.82750187427,55290.74519096518,61665.358235655476
86,52089.35931848614,54939.09895016473,61665.358235655476
87,52089.35931848614,54682.39170065934,61246.27157558008
88,52034.282089666456,54690.2524543938,61420.245933027865
89,51778.58047094507,54463.318850964904,60496.84103922855
90,51686.41692561013,54264.249771412084,59615.50756923124
91,51686.41692561013,53982.27141720755,58493.7282549426
92,51532.788178115996,53740.525075803685,58828.131753912865
93,51494.93669420097,53600.22208632282,58274.43291011228
94,51469.208951470566,53514.62862580304,58274.43291011228
95,51373.06901890748,53460.5602669171,58601.02418124158
96,51162.58980566819,53456.229769052996,58435.95059627586
97,51162.58980566819,53219.49711450035,58435.95059627586
98,51162.58980566819,53061.56016527347,58029.9280368025
99,51015.912056318644,52924.42854818043,56027.85752158364
100,51000.74438579618,52784.90673166318,55875.682396986485
101,50997.12000767985,52658.617362103236,55511.30676332206
102,50987.231876030804,52624.08075554922,55098.31983336544
103,50987.231876030804,52683.78645536456,55276.252932491356
104,50807.259347892614,52572.19432340217,55410.85370931807
105,50807.259347892614,52516.501555159964,55410.85370931807
106,50756.72494508991,52368.4348052055,55410.85370931807
107,50719.38650481076,52329.264439969134,55410.85370931807
108,50672.82441882055,52146.39047994764,55354.779968153045
109,50563.793352281835,52042.430519799935,55354.779968153045
110,50542.56113152266,51997.139241705016,55247.18426485874
111,50351.67184478044,51896.9589209816,54667.5362512918
112,50351.67184478044,51855.91669334515,54530.238080471056
113,49927.90148425795,51724.30493847683,55018.89807785136
114,49927.90148425795,51561.05327398831,56348.87675270627
115,49927.90148425795,51537.53565603854,56103.222465471554
116,49927.90148425795,51512.6299183645,54535.05010922048
117,49915.91725916881,51397.875768234575,53770.17727199259
118,49787.0956708576,51382.583549229515,54327.5232034036
119,49722.13734417667,51388.56343757424,54327.5232034036
120,49657.96030411846,51335.330841093644,54458.287607739876
121,49657.96030411846,51307.927106494215,54458.287607739876
122,49657.96030411846,51312.25661563196,54269.68950485609
123,49624.23370786823,51163.94972015053,54257.530846533584
124,49561.93281362758,51183.18954074609,54184.84337902232
125,49561.93281362758,51120.535786463006,54233.336912532366
126,49561.93281362758,51148.043875684656,54233.336912532366
127,49561.93281362758,50978.42935390241,53081.55545008486
128,49434.34100595964,50990.86644295407,53081.55545008486
129,49434.34100595964,50859.40466600004,53080.574857395055
130,49336.23069219316,50740.85332583429,53329.24547221956
131,49336.23069219316,50724.973073671696,53087.89311516992
132,49308.89240365114,50621.02637190194,53087.89311516992
133,49098.85308891811,50557.23390385561,53251.21748332456
134,48925.45821178452,50446.56010029685,53338.34942573647
135,48925.10412503454,50363.82983958526,53361.39677420653
136,48758.43889280447,50327.150690737304,53565.52057982646
137,48611.16627087917,50293.40822026013,53522.39870878663
138,48560.550327133635,50127.06056493489,52627.10726564153
139,48560.550327133635,50020.44985466264,52586.63957750149
140,48560.550327133635,49949.61773804934,52586.63957750149
141,48308.393814990304,49886.063980867475,52586.63957750149
142,48187.17796906906,49853.6182174756,52737.59638861127
143,48187.17796906906,49772.51303569632,52976.58664215401
144,48179.092165657275,49745.49554004368,53457.22653278347
145,48179.092165657275,49743.06527341023,52142.065228199164
146,48123.97216604746,49657.11588373538,51935.02877805466
147,48074.146110281734,49520.89267799555,51379.52323622925
148,48031.304319335795,49559.653361765704,51266.893539485405
149,48031.304319335795,49513.170732416,51983.24149196472
150,47969.67335985262,49314.49057640038,51466.59664310755
151,47872.31591615843,49248.07532731444,51184.10465239897
152,47864.82173671162,49255.1009508399,51390.92964008427
153,47712.765828565985,49156.50650691413,51412.77366754829
154,47712.765828565985,49084.32901614782,51509.87589452152
155,47692.90629104377,49016.12035275346,51720.5873231225
156,47692.90629104377,48990.146314066034,51956.311672049706
157,47642.74800666308,48868.7105016144,51667.7329132835
158,47487.791776407255,48888.84676149461,51613.532913683666
159,47487.791776407255,48901.05015723646,51631.49514045749
160,47486.792695035176,48864.444836348026,51498.229950395005
161,47400.217630528896,48749.99161406011,51091.32387926827
162,47348.80448031475,48659.0581862568,51101.46342913007
163,47220.34299770715,48572.87258506899,50804.93157782039
164,47178.69117203122,48556.36401169375,50804.93157782039
165,47151.0100460675,48551.018743229295,50778.35007730519
166,47151.0100460675,48468.50596604486,50778.35007730519
167,47151.0100460675,48360.134262692605,50778.35007730519
168,47013.539027120765,48337.920130729704,50754.95180416978
169,46975.586812910165,48255.3344958024,50578.99085829001
170,46975.586812910165,48205.73376473794,50578.600233019424
171,46950.37432123889,48169.539105891876,50337.25185346353
172,46948.67321560433,48119.07828635373,51013.83352084916
173,46666.06286046826,48038.178400777935,51013.83352084916
174,46593.00431088649,47975.620025906246,50520.92289654081
175,46593.00431088649,47936.02252888388,50610.05337452657
176,46558.606818372944,47914.32053520368,50520.92289654081
177,46520.42545135935,47936.27857933476,49968.72186559825
178,46520.42545135935,47834.81691606077,50666.12813568063
179,46520.42545135935,47816.399232849544,50583.111564378225
180,46520.42545135935,47801.00492395224,50081.04911477229
181,46444.20787431624,47711.63810698638,50081.04911477229
182,46444.20787431624,47631.6654453551,50372.35105813844
183,46444.20787431624,47599.989202465265,49986.34776278262
184,46444.20787431624,47485.83795829343,49973.046203440885
185,46444.20787431624,47529.85929231076,49707.033263890786
186,46367.48629818424,47516.31031383175,50091.38595752001
187,46338.30059292683,47488.3901348858,50173.73487981094
188,46338.30059292683,47415.78095197189,49258.38053800966
189,46338.30059292683,47275.24331906884,49833.68400499566
190,46294.44350626263,47335.79324504936,49833.68400499566
191,46114.888236919316,47347.217370697406,49785.408977707164
192,46114.888236919316,47263.8669853894,48685.91765491259
193,46114.888236919316,47268.54532340935,48697.60719662444
194,46114.888236919316,47144.6360039267,49210.37333857569
195,46045.66375007821,47046.86715528834,49291.93444171881
196,46045.66375007821,47096.52617052549,50668.58001888383
197,45927.70245675996,47068.310178803054,49494.396950185175
198,45841.76062797014,47007.01557157262,48985.042980629485
199,45816.733833708,46933.87133399165,48985.042980629485
200,45816.733833708,46931.50202031878,48398.49886478084
201,45816.733833708,46971.07534536582,48711.642825290895
202,45731.53903027183,46946.52317241439,48927.765597048085
203,45731.53903027183,46820.823577517505,48572.57274520534
204,45731.35865939057,46776.698544082574,48695.82451871076
205,45698.208698576134,46735.256085096684,49259.37288104124
206,45697.07530012957,46679.889114726044,49259.37288104124
207,45616.54014230264,46712.77348808062,49315.43304231251
208,45606.27605520746,46765.0521251783,49315.43304231251
209,45538.31501862859,46705.7654175652,49315.43304231251
210,45361.942472599134,46646.58880475187,49315.43304231251
211,45317.878361729876,46513.28565910351,48912.64893151198
