Solutions over population,,,
,Best,Avg,Worst
0,2005.249639,3486.104709,5418.434926
1,1275.858875,2930.875094,4932.759981
2,1214.972608,2676.010049,4599.456351
3,1212.238689,2489.018011,4348.828738
4,1162.472692,2403.455083,4343.458227
5,1060.203825,2321.037697,4125.220774
6,1060.203825,2219.345924,3989.300918
7,1026.125199,2149.120111,3886.632052
8,992.4129958,2085.585957,3745.342208
9,992.4129958,2033.179368,3618.103052
10,985.1157328,2017.593354,3520.879233
11,985.1157328,2011.69467,3520.879233
12,983.6919755,1974.615953,3222.835906
13,983.6919755,1937.792776,3503.770141
14,956.4228984,1908.721569,3178.366873
15,956.4228984,1896.474743,3171.836613
16,940.3554357,1883.579526,3173.492953
17,933.2298021,1858.768946,3173.492953
18,927.7203756,1830.118024,3075.465203
19,927.7203756,1813.604178,3061.081982
20,927.7203756,1801.618052,3028.28807
21,927.7203756,1793.982232,3190.115215
22,927.7203756,1770.587199,3048.06585
23,916.011403,1757.944211,3048.06585
24,916.011403,1749.818943,3278.073226
25,916.011403,1734.756077,3020.292599
26,916.011403,1755.469365,3236.237272
27,916.011403,1763.411126,3282.633199
28,916.011403,1765.700476,3038.518711
29,903.161924,1755.588852,3038.082886
30,903.161924,1740.14106,3174.045402
31,901.7813542,1739.357105,3174.045402
32,901.7813542,1739.219587,3131.440691
33,887.0396969,1722.292879,2978.938384
34,878.7877721,1714.3621,3291.407204
35,877.2418998,1722.269905,2976.885189
36,877.2418998,1706.48764,2939.15034
37,877.2418998,1685.577699,2917.707462
38,877.2418998,1682.720282,2754.399326
39,861.1260015,1664.432596,2818.295384
40,861.1260015,1667.800927,2875.962779
41,860.9118254,1676.55572,2778.676205
42,857.7603465,1681.60321,3336.827715
43,857.4292098,1701.093186,2888.23278
44,857.4292098,1718.197227,3073.167043
45,857.4292098,1703.964145,2940.148159
46,844.6806775,1692.84709,2940.148159
47,840.1245514,1695.360343,2986.160584
48,840.1245514,1685.27036,3256.859573
49,840.1245514,1701.25416,3080.487424
50,840.1245514,1708.538806,3064.995165
51,840.1245514,1703.799211,3046.016941
52,829.9987322,1689.966832,2977.934328
53,829.9987322,1656.430624,2977.192256
54,825.3382707,1672.0031,2831.102679
55,818.3547625,1647.470503,2831.102679
56,816.1786344,1669.931665,2733.072116
57,812.0169513,1659.886248,2993.036811
58,809.5589905,1660.480668,2962.396078
59,809.5589905,1658.028113,2962.396078
60,809.5589905,1655.39302,2879.011529
61,809.5589905,1653.642024,2887.817292
62,809.5589905,1654.121025,2876.934981
63,809.5589905,1653.424885,2875.066878
64,777.3335692,1656.854223,2844.333189
65,777.3335692,1640.54448,2925.659567
66,777.3335692,1648.4155,2866.534943
67,773.2391089,1659.588081,2818.216919
68,773.2391089,1654.464435,2915.105493
69,767.629678,1661.729574,2954.644018
70,767.629678,1649.060389,2872.82558
71,767.629678,1635.895181,2889.902524
72,767.629678,1651.205794,3210.341659
73,767.629678,1665.886417,3210.341659
74,767.629678,1678.558226,3044.487846
75,767.3342619,1676.137098,3031.543557
76,767.3342619,1667.769365,3036.773337
77,767.3342619,1648.380266,3036.773337
78,767.3342619,1636.484301,2910.608365
79,767.3342619,1644.561077,2962.862283
80,767.3342619,1646.856723,2819.663503
81,767.3342619,1646.78995,2819.663503
82,766.2152017,1644.461231,2817.518997
83,751.8151162,1640.8242,3164.994618
84,751.8151162,1660.786946,3164.994618
85,751.8151162,1651.478429,2962.028514
86,751.8151162,1658.93594,2964.008358
87,751.8151162,1627.761009,2876.909446
88,751.8151162,1634.991063,3154.423032
89,751.8151162,1633.139832,3198.930005
90,751.8151162,1639.34569,3089.313841
91,751.8151162,1620.887714,3105.346342
92,751.8151162,1622.583064,3125.549201
93,751.8151162,1619.651269,2942.633745
94,749.432224,1600.524771,2936.087958
95,746.4789788,1617.857983,3047.459953
96,741.3496428,1657.700639,3069.454383
97,741.3496428,1665.641412,3089.088491
98,741.3496428,1647.088988,3040.112918
99,741.3496428,1636.57918,2982.950564
100,735.535997,1631.938677,3104.042491
101,735.535997,1636.473056,2923.116357
102,735.535997,1627.560876,2957.484456
103,735.535997,1628.758591,2833.618191
104,735.535997,1635.206549,2919.727435
105,735.535997,1620.233791,2834.602679
106,727.8553226,1615.613828,2965.60765
107,727.8553226,1629.885307,2948.217628
108,727.8553226,1628.938552,3277.562483
109,722.6464518,1634.756911,2972.410259
110,721.5371007,1628.094442,2946.137633
111,721.5371007,1612.029609,2805.08592
112,721.5371007,1585.035297,2803.91124
113,721.5371007,1587.025398,3062.813204
114,721.5371007,1623.59614,2854.246889
115,721.5371007,1620.513455,2917.028284
116,721.5371007,1616.926271,2917.028284
117,721.5371007,1615.019813,2886.40228
118,721.5371007,1615.767583,2970.565583
119,721.5371007,1619.662626,2952.503197
120,721.5371007,1583.626526,2776.409694
121,721.5371007,1577.747652,2771.024355
122,721.5371007,1562.916234,2832.958297
123,721.5371007,1562.505976,3226.557857
124,721.2078719,1573.108292,2989.061707
125,715.5807316,1587.392388,2939.766464
126,714.2217506,1615.669,3299.937084
127,714.2217506,1630.493694,3040.382766
128,714.2217506,1623.027414,3040.314328
129,714.2217506,1629.677379,2955.211031
130,714.2217506,1633.138578,2955.211031
131,711.8181746,1624.084456,2908.743731
132,707.3441091,1613.151817,3178.18138
