Solutions over population,,,
,Best,Avg,Worst
0,1894.615041,3490.861097,5678.538537
1,1320.279798,2964.327326,4994.726099
2,1197.206093,2719.06035,4931.964515
3,1193.802611,2646.168752,4931.964515
4,1193.802611,2608.407544,4483.478128
5,1183.679546,2534.240543,4466.11557
6,1127.424818,2496.642064,4272.825294
7,1075.521379,2493.157419,4150.108566
8,1067.961428,2487.15093,4213.490083
9,1047.522483,2465.169801,4210.224169
10,1009.815237,2480.430012,4059.598418
11,986.2880317,2481.383263,4177.578106
12,984.0997859,2441.612007,4177.578106
13,984.0997859,2495.808479,4468.970258
14,984.0997859,2397.923865,4256.927723
15,984.0997859,2397.537269,4084.001584
16,960.2028228,2395.920081,4052.019393
17,955.4876464,2380.171112,4046.622507
18,955.4876464,2396.479154,4052.319771
19,951.2703482,2406.130465,4543.126085
20,951.2703482,2373.600535,4034.879637
21,926.2253523,2380.697972,4067.428909
22,925.6657364,2326.036037,4034.879637
23,925.6657364,2323.944956,4182.839862
24,899.0570775,2348.978877,4024.133256
25,899.0570775,2316.09079,3861.866235
26,893.3059779,2368.756267,4430.524518
27,893.3059779,2306.653869,4002.178371
28,885.4059205,2340.255473,4701.704886
29,885.4059205,2371.539846,3929.88705
30,885.4059205,2310.391096,4215.852295
31,885.4059205,2326.802947,4105.692534
32,885.4059205,2337.687607,4050.067473
33,885.4059205,2309.821258,4261.06562
34,885.4059205,2367.875356,4360.213777
35,885.4059205,2338.088504,4158.594384
36,885.4059205,2350.829452,4233.447859
37,885.4059205,2354.869215,4044.038602
38,885.4059205,2366.826882,4100.341438
39,885.4059205,2354.306079,4123.257326
40,885.4059205,2359.723673,4240.346857
41,885.4059205,2329.940976,4895.160718
42,885.4059205,2342.867953,4153.722651
43,885.4059205,2343.885304,4155.398051
44,885.4059205,2435.10608,4127.508578
45,885.4059205,2400.645307,4083.236391
46,885.4059205,2358.874274,4083.236391
47,885.4059205,2324.255707,3964.555436
48,885.4059205,2372.42853,4338.564121
49,885.4059205,2392.063418,4201.835643
50,885.4059205,2416.315137,4198.47984
51,882.1004761,2362.675351,4714.639273
52,882.1004761,2380.341203,4216.357552
53,882.1004761,2347.474742,4785.057486
54,882.1004761,2384.118103,4284.385774
55,878.2134277,2396.160375,4627.409815
56,878.2134277,2351.919813,4534.907043
57,878.2134277,2352.577446,4187.229851
58,877.7816791,2360.019922,4043.312531
59,877.7816791,2325.672707,4195.567059
60,877.7816791,2314.975941,4195.567059
61,877.7816791,2301.605767,4584.567969
62,877.7816791,2303.970635,4584.567969
63,877.7816791,2263.589735,3833.904812
64,877.7816791,2316.729894,3850.118928
65,877.7816791,2311.375559,4137.74909
66,877.7816791,2316.647445,3968.79908
67,877.7816791,2344.172302,4083.212241
68,877.7816791,2360.143814,4200.598069
69,877.7816791,2350.810348,3925.602467
70,876.2177058,2372.322203,4175.307415
71,876.2177058,2357.750986,4246.285314
72,876.2177058,2351.000151,4237.580339
73,876.2177058,2327.900365,4024.172132
74,876.2177058,2374.377733,4049.489664
75,876.2177058,2345.179429,4048.525217
76,863.6796948,2341.154144,4012.430219
77,863.6796948,2320.785745,4012.430219
