Solutions over population
,Best,Avg,Worst
0,2252.8634392191193,3503.9186904936696,5372.623502302443
1,2092.181600240692,3084.127617320493,5372.623502302443
2,1901.076592485932,2781.6761909627007,4750.395802109049
3,1877.1857798032681,2579.461850320803,4750.395802109049
4,1877.1857798032681,2446.8559727632014,4026.005830961367
5,1673.1478566427659,2359.5611769881993,3941.2433254667685
6,1673.1478566427659,2281.8557898180297,3941.2433254667685
7,1607.8278728108453,2192.0951244801427,3253.6421934414357
8,1588.3138309842436,2144.5779695722454,3210.5673902111853
9,1588.3138309842436,2099.470636243842,3210.5673902111853
10,1581.5105137558812,2049.7403891301724,3210.5673902111853
11,1556.8294166664837,1987.0641077414691,3210.5673902111853
12,1556.8294166664837,1957.7716818133572,3210.5673902111853
13,1556.8294166664837,1940.0242961398,3122.2307671213994
14,1556.8294166664837,1924.4810928678535,3122.2307671213994
15,1539.0864437823323,1928.905945299083,3122.2307671213994
16,1538.397182515155,1910.154379048843,3122.2307671213994
17,1538.397182515155,1906.9901326898448,3221.953742863562
18,1527.982919434269,1917.6379442435987,3121.1463075517267
19,1503.311087796067,1945.845016046421,3139.5166864987127
20,1503.311087796067,1939.1207226176566,3202.1736123678693
21,1495.6198862803233,1888.2205186450187,2992.2523720610407
22,1470.49817914985,1918.3744087744199,3041.5801876838905
23,1470.49817914985,1908.5747537953662,3037.0589265604694
24,1469.0488603622641,1921.208242871434,3307.8080373966627
25,1411.546620578718,1872.7558164148795,3034.9094494344577
26,1411.546620578718,1863.2585644085827,3121.1831778789115
27,1402.3241960077444,1814.0270159887734,3121.1831778789115
28,1386.2015285101133,1806.4378019331823,2928.3789578770675
29,1386.2015285101133,1809.8831694195605,2955.193895864406
30,1386.2015285101133,1847.7498563010668,3044.372593392165
31,1370.9647138435841,1828.092973350805,3147.874355804865
32,1370.9647138435841,1856.8624951069514,3458.9081218390093
33,1370.9647138435841,1878.2447145888589,3458.9081218390093
34,1370.9647138435841,1796.7123954613812,3126.5574732589675
35,1370.9647138435841,1797.211714857374,3451.8900474764687
36,1361.409577196208,1817.1155340997238,3145.808393811203
37,1361.409577196208,1816.7287691739846,3068.0981686557534
38,1355.0515762093876,1779.1465083976145,3555.89282904308
39,1355.0515762093876,1772.5716245306892,3119.5502070488624
40,1355.0515762093876,1767.858182297493,3233.021510398013
41,1321.205719718078,1791.161443350871,3462.7876316255865
42,1321.205719718078,1769.0538339117813,3337.612466832977
43,1321.205719718078,1729.9346754804728,3375.114644158604
44,1321.205719718078,1738.1336859330459,3375.114644158604
45,1321.205719718078,1802.343028648659,3317.5597713995667
46,1321.205719718078,1755.55955281267,3317.5597713995667
47,1321.205719718078,1750.357352731596,3487.1170550257675
48,1321.205719718078,1805.3774449478651,3717.439488980934
49,1321.205719718078,1742.892686386111,3522.167056502083
50,1321.205719718078,1763.1828295652335,3522.167056502083
51,1319.800929739043,1820.9450718720225,3270.0363050126125
52,1319.800929739043,1782.2723381442293,3131.8598661795004
53,1303.467572536459,1751.777216331866,3310.005167991813
54,1303.2646774496943,1752.2105607721012,3483.252793758926
55,1303.2646774496943,1771.2741750015457,3390.5566957080478
56,1303.2646774496943,1777.2938297050466,3779.7227291975178
57,1295.3378992413964,1763.0076624061307,3779.7227291975178
58,1288.479368076499,1732.2978187125548,3638.0787185886247
59,1288.479368076499,1695.1836619868961,3145.614188797462
60,1288.479368076499,1724.2080835489992,3146.1280475207413
61,1277.7601370425916,1725.3098835009646,3240.4630529089227
62,1275.9778997966812,1771.13518383922,3371.097115377162
63,1275.9778997966812,1776.3085070465029,3580.835883424754
64,1275.9778997966812,1756.4694411088528,3580.835883424754
65,1275.9778997966812,1733.8817925116493,3580.835883424754
66,1258.671632317484,1782.6888681023763,3542.3430360681923
67,1258.671632317484,1786.2201660467003,3306.6354098547863
68,1253.0433389557131,1846.1754869943297,3508.3784260945645
69,1253.0433389557131,1806.211212443162,3644.505028966061
70,1238.393682705018,1821.4081636815044,3882.7324995985623
71,1238.393682705018,1784.0855489777566,3682.7528442108755
72,1238.393682705018,1846.2710148503836,3682.7528442108755
73,1238.393682705018,1798.8713358475372,3549.764922346126
74,1238.393682705018,1787.878579983757,3566.5070812531194
75,1238.393682705018,1840.4107823290685,3485.638589601498
76,1238.393682705018,1834.7710951894776,3414.451076594043
77,1238.393682705018,1769.6750484799124,3294.3158193742156
78,1220.1872747199202,1790.8576234182196,3442.7920064735263
79,1220.1872747199202,1745.7148804976587,3594.503067006226
80,1220.1872747199202,1782.420255020118,3442.7920064735263
81,1192.6757475219981,1757.986464469868,3406.637289142982
82,1192.6757475219981,1738.1059302564033,3406.637289142982
83,1192.6757475219981,1757.7943397364934,3277.3556726737306
84,1192.6757475219981,1714.01211050891,3417.408557512649
85,1192.6757475219981,1733.4767839187489,3417.408557512649
86,1192.6757475219981,1688.0072241388468,3417.408557512649
87,1192.6757475219981,1766.1533172347408,3417.408557512649
88,1178.047962188498,1728.4405368105042,3252.87512991395
89,1178.047962188498,1686.9020242559686,3745.80364270299
90,1178.047962188498,1711.2799438511443,3745.80364270299
91,1178.047962188498,1648.770074378138,3691.470577849105
92,1178.047962188498,1623.483853661167,3694.7388553503206
93,1170.9178209231375,1639.9561766589761,3934.923492294316
94,1170.9178209231375,1623.6362558743351,3934.923492294316
95,1158.4655399023993,1592.8205506044146,3934.923492294316
96,1158.1598435564501,1625.4638393031037,4184.528259298528
97,1158.1598435564501,1683.6779873409955,4184.528259298528
98,1156.3544662454258,1615.2511824787327,4184.528259298528
99,1148.0722096959987,1647.8635871010258,3255.437841173914
100,1148.0722096959987,1645.7781942459833,3222.3836834333692
101,1148.0722096959987,1635.4739429001781,3648.1507453597933
102,1148.0722096959987,1625.6367515533557,3469.4774905067598
103,1147.7951148304717,1663.6781319320053,3469.4774905067598
104,1145.3953793485953,1641.9868417892878,3431.8942242416324
105,1145.3953793485953,1693.0716741069261,3431.8942242416324
106,1145.3953793485953,1683.533243609011,3431.8942242416324
107,1141.5447468775506,1681.2628481140391,3567.3260172307073
108,1141.5447468775506,1666.557825784146,3633.6622911362206
109,1141.5447468775506,1690.7993111293288,3522.1899791884666
110,1111.3944994786154,1713.0477239181707,3370.500643052813
111,1111.3944994786154,1723.0504915816914,3426.2264568949918
112,1111.3944994786154,1760.6172845744973,3426.2264568949918
113,1111.3944994786154,1663.128006183975,3362.1378516920363
114,1111.3944994786154,1614.548650080626,3355.943933185452
115,1111.3944994786154,1606.9967587385224,3609.8760232377954
116,1111.3944994786154,1621.2631488630213,3502.685559849346
117,1111.3944994786154,1639.929620048294,3698.879429573997
118,1111.3944994786154,1633.8370737217651,3523.7217658906816
119,1111.3944994786154,1604.3263778522885,3523.7217658906816
120,1111.3944994786154,1540.6135003162788,3513.2935856043337
121,1110.960352643072,1556.680406633878,3513.2935856043337
122,1110.960352643072,1567.1452103177826,3556.5310086435293
123,1109.102163913426,1590.5996811055375,3613.2556825334136
124,1109.102163913426,1640.7460247492158,3975.0157713357157
125,1109.102163913426,1552.7205857350339,3288.4314243867707
126,1109.102163913426,1581.8465936902517,3472.247031044907
127,1109.102163913426,1516.003359950944,3472.247031044907
128,1106.1237126057565,1505.1118267844122,3384.629058317567
129,1106.1237126057565,1487.3307707848078,3264.1378899045576
130,1106.1237126057565,1554.911332460868,3516.46214962679
131,1106.1237126057565,1538.8684177732537,3420.7911394402818
132,1101.5870580881074,1516.7287315650692,3360.3303979086268
133,1096.987409194099,1511.1373420969323,3360.3303979086268
134,1096.1488671702714,1475.3656993920188,3135.722640097417
135,1096.1488671702714,1462.2145796193709,3211.779496188586
136,1096.1488671702714,1417.291122768836,3211.779496188586
137,1096.1488671702714,1437.9520917052726,2796.1334183253275
138,1096.1488671702714,1422.0209323487622,2796.1334183253275
139,1094.087525144258,1458.8483891641654,2705.8077831589644
140,1094.087525144258,1469.4729187793062,3442.313975408315
141,1094.087525144258,1491.253219692308,3442.313975408315
142,1088.6796746608757,1435.755615604222,3336.1463411503787
143,1088.6796746608757,1414.5780410521559,3336.1463411503787
144,1088.6796746608757,1454.6586800025948,3336.1463411503787
145,1088.6796746608757,1479.3642315391915,3336.1463411503787
146,1077.0011319543273,1470.5512151611083,3336.1463411503787
